#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.05, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/23/2023 10:41:48, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.338
t (ns), A (mV)
+00000E0, +7813E-09
+10000E-2, +7813E-09
+20000E-2, +2344E-08
+30000E-2, +0000E00
+40000E-2, +0000E00
+50000E-2, +4688E-08
+60000E-2, +7813E-09
+70000E-2, -7813E-09
+80000E-2, +0000E00
+90000E-2, -7813E-09
+10000E-1, +1563E-08
+11000E-1, +0000E00
+12000E-1, +1563E-08
+13000E-1, +7813E-09
+14000E-1, +0000E00
+15000E-1, +0000E00
+16000E-1, +1563E-08
+17000E-1, +7813E-09
+18000E-1, +1563E-08
+19000E-1, +2344E-08
+20000E-1, +0000E00
+21000E-1, +0000E00
+22000E-1, +3125E-08
+23000E-1, -7813E-09
+24000E-1, -7813E-09
+25000E-1, -7813E-09
+26000E-1, +0000E00
+27000E-1, -7813E-09
+28000E-1, +0000E00
+29000E-1, +7813E-09
+30000E-1, +2344E-08
+31000E-1, +7813E-09
+32000E-1, +1563E-08
+33000E-1, +7813E-09
+34000E-1, +0000E00
+35000E-1, +2344E-08
+36000E-1, +0000E00
+37000E-1, +7813E-09
+38000E-1, -7813E-09
+39000E-1, +5469E-08
+40000E-1, +0000E00
+41000E-1, +0000E00
+42000E-1, +0000E00
+43000E-1, +0000E00
+44000E-1, +1563E-08
+45000E-1, +1563E-08
+46000E-1, +2344E-08
+47000E-1, +3125E-08
+48000E-1, +7813E-09
+49000E-1, +2344E-08
+50000E-1, +0000E00
+51000E-1, +7813E-09
+52000E-1, +2344E-08
+53000E-1, +7813E-09
+54000E-1, +0000E00
+55000E-1, +1563E-08
+56000E-1, +7813E-09
+57000E-1, +2344E-08
+58000E-1, +0000E00
+59000E-1, +0000E00
+60000E-1, +0000E00
+61000E-1, +0000E00
+62000E-1, +1563E-08
+63000E-1, +7813E-09
+64000E-1, +2344E-08
+65000E-1, +1563E-08
+66000E-1, +0000E00
+67000E-1, +7813E-09
+68000E-1, -7813E-09
+69000E-1, +0000E00
+70000E-1, +1563E-08
+71000E-1, +3125E-08
+72000E-1, -7813E-09
+73000E-1, -7813E-09
+74000E-1, +2344E-08
+75000E-1, +0000E00
+76000E-1, +0000E00
+77000E-1, -7813E-09
+78000E-1, +0000E00
+79000E-1, +1563E-08
+80000E-1, +0000E00
+81000E-1, -7813E-09
+82000E-1, -1563E-08
+83000E-1, +0000E00
+84000E-1, +2344E-08
+85000E-1, +0000E00
+86000E-1, -7813E-09
+87000E-1, -7813E-09
+88000E-1, +1563E-08
+89000E-1, -7813E-09
+90000E-1, +0000E00
+91000E-1, +7813E-09
+92000E-1, +0000E00
+93000E-1, +0000E00
+94000E-1, +0000E00
+95000E-1, +7813E-09
+96000E-1, +0000E00
+97000E-1, +0000E00
+98000E-1, +0000E00
+99000E-1, -7813E-09
+10000E0, +0000E00
+10100E0, -7813E-09
+10200E0, +1563E-08
+10300E0, +0000E00
+10400E0, +2344E-08
+10500E0, +1563E-08
+10600E0, +3125E-08
+10700E0, -7813E-09
+10800E0, +0000E00
+10900E0, -7813E-09
+11000E0, +0000E00
+11100E0, +7813E-09
+11200E0, +7813E-09
+11300E0, +7813E-09
+11400E0, +0000E00
+11500E0, -7813E-09
+11600E0, +0000E00
+11700E0, -1563E-08
+11800E0, +0000E00
+11900E0, -7813E-09
+12000E0, -7813E-09
+12100E0, +0000E00
+12200E0, +7813E-09
+12300E0, +2344E-08
+12400E0, +1563E-08
+12500E0, +0000E00
+12600E0, +0000E00
+12700E0, +0000E00
+12800E0, +7813E-09
+12900E0, +7813E-09
+13000E0, +0000E00
+13100E0, -7813E-09
+13200E0, -7813E-09
+13300E0, +7813E-09
+13400E0, +0000E00
+13500E0, -7813E-09
+13600E0, +0000E00
+13700E0, +3125E-08
+13800E0, +7813E-09
+13900E0, +1563E-08
+14000E0, +7813E-09
+14100E0, +0000E00
+14200E0, +0000E00
+14300E0, +7813E-09
+14400E0, +0000E00
+14500E0, +0000E00
+14600E0, +0000E00
+14700E0, +7813E-09
+14800E0, +0000E00
+14900E0, -7813E-09
+15000E0, +0000E00
+15100E0, +2344E-08
+15200E0, -7813E-09
+15300E0, +7813E-09
+15400E0, +7813E-09
+15500E0, +7813E-09
+15600E0, +0000E00
+15700E0, +0000E00
+15800E0, +0000E00
+15900E0, +0000E00
+16000E0, +6250E-08
+16100E0, +0000E00
+16200E0, +0000E00
+16300E0, +0000E00
+16400E0, +0000E00
+16500E0, +0000E00
+16600E0, -7813E-09
+16700E0, +7813E-09
+16800E0, -7813E-09
+16900E0, +0000E00
+17000E0, +3125E-08
+17100E0, +1563E-08
+17200E0, +7813E-09
+17300E0, +0000E00
+17400E0, +0000E00
+17500E0, +7813E-09
+17600E0, -7813E-09
+17700E0, +0000E00
+17800E0, +7813E-09
+17900E0, +1563E-08
+18000E0, +0000E00
+18100E0, +7813E-09
+18200E0, +0000E00
+18300E0, +0000E00
+18400E0, +1563E-08
+18500E0, -7813E-09
+18600E0, +1563E-08
+18700E0, +7813E-09
+18800E0, +1563E-08
+18900E0, +7813E-09
+19000E0, +0000E00
+19100E0, +9375E-08
+19200E0, +0000E00
+19300E0, +2344E-08
+19400E0, -7813E-09
+19500E0, +0000E00
+19600E0, +0000E00
+19700E0, +0000E00
+19800E0, -7813E-09
+19900E0, +0000E00
+20000E0, +1563E-08
+20100E0, +0000E00
+20200E0, +0000E00
+20300E0, +7813E-09
+20400E0, +7813E-09
+20500E0, -7813E-09
+20600E0, +0000E00
+20700E0, +0000E00
+20800E0, +0000E00
+20900E0, +1563E-08
+21000E0, +4688E-08
+21100E0, -7813E-09
+21200E0, +7813E-09
+21300E0, +7813E-09
+21400E0, +7813E-09
+21500E0, +7813E-09
+21600E0, -7813E-09
+21700E0, +0000E00
+21800E0, -7813E-09
+21900E0, +7813E-09
+22000E0, +7813E-09
+22100E0, -7813E-09
+22200E0, +7813E-09
+22300E0, +0000E00
+22400E0, +7813E-09
+22500E0, +0000E00
+22600E0, +0000E00
+22700E0, +1563E-08
+22800E0, +0000E00
+22900E0, +0000E00
+23000E0, +0000E00
+23100E0, +7813E-09
+23200E0, +0000E00
+23300E0, +2344E-08
+23400E0, +1563E-08
+23500E0, +7813E-09
+23600E0, +7813E-09
+23700E0, +2344E-08
+23800E0, +1563E-08
+23900E0, +0000E00
+24000E0, -7813E-09
+24100E0, -7813E-09
+24200E0, +0000E00
+24300E0, +7813E-09
+24400E0, +0000E00
+24500E0, +1563E-08
+24600E0, -7813E-09
+24700E0, -7813E-09
+24800E0, +7813E-09
+24900E0, +1563E-08
+25000E0, +1563E-08
+25100E0, +1563E-08
+25200E0, -7813E-09
+25300E0, +0000E00
+25400E0, +1563E-08
+25500E0, +7813E-09
+25600E0, +3906E-08
+25700E0, +3125E-08
+25800E0, +7813E-09
+25900E0, +0000E00
+26000E0, +2344E-08
+26100E0, +1563E-08
+26200E0, +3906E-08
+26300E0, +1563E-08
+26400E0, +7813E-09
+26500E0, +7813E-09
+26600E0, +1563E-08
+26700E0, +0000E00
+26800E0, +7813E-09
+26900E0, +2344E-08
+27000E0, +0000E00
+27100E0, +7813E-09
+27200E0, +1563E-08
+27300E0, +1563E-08
+27400E0, +1563E-08
+27500E0, +1563E-08
+27600E0, +0000E00
+27700E0, +0000E00
+27800E0, +0000E00
+27900E0, +7813E-09
+28000E0, -7813E-09
+28100E0, +1563E-08
+28200E0, +7813E-09
+28300E0, +0000E00
+28400E0, +0000E00
+28500E0, +0000E00
+28600E0, +0000E00
+28700E0, -7813E-09
+28800E0, +7813E-09
+28900E0, +0000E00
+29000E0, +0000E00
+29100E0, -7813E-09
+29200E0, +0000E00
+29300E0, +0000E00
+29400E0, -7813E-09
+29500E0, +7813E-09
+29600E0, +0000E00
+29700E0, +3125E-08
+29800E0, +0000E00
+29900E0, +3125E-08
+30000E0, +1563E-08
+30100E0, -7813E-09
+30200E0, +0000E00
+30300E0, +0000E00
+30400E0, +7813E-09
+30500E0, -7813E-09
+30600E0, +7813E-09
+30700E0, +1563E-08
+30800E0, +0000E00
+30900E0, +0000E00
+31000E0, +7813E-09
+31100E0, +7813E-09
+31200E0, -7813E-09
+31300E0, -1563E-08
+31400E0, +0000E00
+31500E0, +0000E00
+31600E0, +0000E00
+31700E0, -7813E-09
+31800E0, +0000E00
+31900E0, +0000E00
+32000E0, +0000E00
+32100E0, +0000E00
+32200E0, -1563E-08
+32300E0, +0000E00
+32400E0, +3125E-08
+32500E0, -7813E-09
+32600E0, +1563E-08
+32700E0, -7813E-09
+32800E0, -7813E-09
+32900E0, -7813E-09
+33000E0, +1563E-08
+33100E0, +0000E00
+33200E0, -7813E-09
+33300E0, +0000E00
+33400E0, -7813E-09
+33500E0, +7813E-09
+33600E0, +0000E00
+33700E0, +1563E-08
+33800E0, +7813E-09
+33900E0, +0000E00
+34000E0, +0000E00
+34100E0, +2344E-08
+34200E0, +1563E-08
+34300E0, +0000E00
+34400E0, -5469E-08
+34500E0, +3125E-08
+34600E0, +7813E-09
+34700E0, +7813E-09
+34800E0, -7813E-09
+34900E0, +7813E-09
+35000E0, +2344E-08
+35100E0, -1563E-08
+35200E0, +0000E00
+35300E0, +0000E00
+35400E0, +7813E-09
+35500E0, +0000E00
+35600E0, +7813E-09
+35700E0, +7813E-09
+35800E0, +7813E-09
+35900E0, -7813E-09
+36000E0, +1563E-08
+36100E0, +2344E-08
+36200E0, +0000E00
+36300E0, -1563E-08
+36400E0, +0000E00
+36500E0, +7813E-09
+36600E0, -7813E-09
+36700E0, +7813E-09
+36800E0, +2344E-08
+36900E0, -7813E-09
+37000E0, +7813E-09
+37100E0, +1094E-07
+37200E0, +0000E00
+37300E0, +1563E-08
+37400E0, -7813E-09
+37500E0, +0000E00
+37600E0, +1563E-08
+37700E0, +1563E-08
+37800E0, +7813E-09
+37900E0, -7813E-09
+38000E0, +4688E-08
+38100E0, +0000E00
+38200E0, +1563E-08
+38300E0, +0000E00
+38400E0, +7813E-09
+38500E0, +0000E00
+38600E0, -7813E-09
+38700E0, +7813E-09
+38800E0, -7813E-09
+38900E0, +7813E-09
+39000E0, +0000E00
+39100E0, +7813E-09
+39200E0, +1563E-08
+39300E0, +0000E00
+39400E0, +0000E00
+39500E0, +0000E00
+39600E0, +7813E-09
+39700E0, +7813E-09
+39800E0, +0000E00
+39900E0, +7813E-09
+40000E0, +1563E-08
+40100E0, -7813E-09
+40200E0, +0000E00
+40300E0, +0000E00
+40400E0, +3906E-08
+40500E0, +1563E-08
+40600E0, +7813E-09
+40700E0, +3906E-08
+40800E0, +0000E00
+40900E0, +0000E00
+41000E0, +0000E00
