#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.002, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/19/2023 10:5:13, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.387
t (ns), A (mV)
+00000E0, +9063E-07
+10000E-2, +8872E-07
+20000E-2, +8944E-07
+30000E-2, +8831E-07
+40000E-2, +9006E-07
+50000E-2, +9103E-07
+60000E-2, +8875E-07
+70000E-2, +8944E-07
+80000E-2, +9069E-07
+90000E-2, +8934E-07
+10000E-1, +8959E-07
+11000E-1, +8956E-07
+12000E-1, +9013E-07
+13000E-1, +8981E-07
+14000E-1, +8859E-07
+15000E-1, +9019E-07
+16000E-1, +9075E-07
+17000E-1, +8850E-07
+18000E-1, +9069E-07
+19000E-1, +9006E-07
+20000E-1, +8928E-07
+21000E-1, +8903E-07
+22000E-1, +9019E-07
+23000E-1, +8984E-07
+24000E-1, +9022E-07
+25000E-1, +8938E-07
+26000E-1, +9053E-07
+27000E-1, +9097E-07
+28000E-1, +8878E-07
+29000E-1, +8997E-07
+30000E-1, +8969E-07
+31000E-1, +9003E-07
+32000E-1, +9047E-07
+33000E-1, +9028E-07
+34000E-1, +9141E-07
+35000E-1, +8894E-07
+36000E-1, +9203E-07
+37000E-1, +9138E-07
+38000E-1, +8941E-07
+39000E-1, +8900E-07
+40000E-1, +9031E-07
+41000E-1, +9038E-07
+42000E-1, +8956E-07
+43000E-1, +8931E-07
+44000E-1, +9088E-07
+45000E-1, +8928E-07
+46000E-1, +8891E-07
+47000E-1, +9106E-07
+48000E-1, +9031E-07
+49000E-1, +8931E-07
+50000E-1, +9078E-07
+51000E-1, +8825E-07
+52000E-1, +9028E-07
+53000E-1, +8963E-07
+54000E-1, +8928E-07
+55000E-1, +9038E-07
+56000E-1, +8950E-07
+57000E-1, +8928E-07
+58000E-1, +9106E-07
+59000E-1, +8988E-07
