#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.002, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 3/14/2023 10:7:17, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.32
t (ns), A (mV)
+00000E0, +7200E-07
+10000E-2, +7106E-07
+20000E-2, +7216E-07
+30000E-2, +7197E-07
+40000E-2, +7184E-07
+50000E-2, +7197E-07
+60000E-2, +7138E-07
+70000E-2, +7263E-07
+80000E-2, +7216E-07
+90000E-2, +7225E-07
+10000E-1, +7203E-07
+11000E-1, +7200E-07
+12000E-1, +7053E-07
+13000E-1, +7128E-07
+14000E-1, +7231E-07
+15000E-1, +7113E-07
+16000E-1, +7253E-07
+17000E-1, +7084E-07
+18000E-1, +7247E-07
+19000E-1, +7138E-07
+20000E-1, +7019E-07
+21000E-1, +7228E-07
+22000E-1, +7222E-07
+23000E-1, +7197E-07
+24000E-1, +7106E-07
+25000E-1, +7175E-07
+26000E-1, +7163E-07
+27000E-1, +7225E-07
+28000E-1, +7206E-07
+29000E-1, +7234E-07
+30000E-1, +7159E-07
+31000E-1, +7150E-07
+32000E-1, +7169E-07
+33000E-1, +7172E-07
+34000E-1, +7156E-07
+35000E-1, +7206E-07
+36000E-1, +7106E-07
+37000E-1, +7122E-07
+38000E-1, +7109E-07
+39000E-1, +7188E-07
+40000E-1, +7228E-07
+41000E-1, +7238E-07
+42000E-1, +7178E-07
+43000E-1, +7259E-07
+44000E-1, +7156E-07
+45000E-1, +7194E-07
+46000E-1, +7256E-07
+47000E-1, +7213E-07
+48000E-1, +7144E-07
+49000E-1, +7250E-07
+50000E-1, +7166E-07
+51000E-1, +7153E-07
+52000E-1, +7106E-07
+53000E-1, +7191E-07
+54000E-1, +7181E-07
+55000E-1, +7094E-07
+56000E-1, +7169E-07
+57000E-1, +7216E-07
+58000E-1, +7200E-07
+59000E-1, +7216E-07
+60000E-1, +7166E-07
+61000E-1, +7191E-07
+62000E-1, +7081E-07
+63000E-1, +7259E-07
+64000E-1, +7191E-07
+65000E-1, +7241E-07
+66000E-1, +7100E-07
+67000E-1, +7078E-07
+68000E-1, +7081E-07
+69000E-1, +7259E-07
+70000E-1, +7213E-07
+71000E-1, +7203E-07
+72000E-1, +7144E-07
+73000E-1, +7072E-07
+74000E-1, +7206E-07
+75000E-1, +7153E-07
+76000E-1, +7153E-07
+77000E-1, +7181E-07
+78000E-1, +7241E-07
+79000E-1, +7203E-07
+80000E-1, +7253E-07
+81000E-1, +7163E-07
+82000E-1, +7169E-07
+83000E-1, +7297E-07
+84000E-1, +7103E-07
+85000E-1, +7078E-07
+86000E-1, +7128E-07
+87000E-1, +7272E-07
+88000E-1, +7225E-07
+89000E-1, +7197E-07
+90000E-1, +7216E-07
+91000E-1, +7247E-07
+92000E-1, +7159E-07
+93000E-1, +7213E-07
+94000E-1, +7166E-07
+95000E-1, +7303E-07
+96000E-1, +7172E-07
+97000E-1, +7191E-07
+98000E-1, +7250E-07
+99000E-1, +7103E-07
+10000E0, +7138E-07
+10100E0, +7150E-07
+10200E0, +7234E-07
+10300E0, +7200E-07
+10400E0, +7150E-07
+10500E0, +7097E-07
+10600E0, +7209E-07
+10700E0, +7147E-07
+10800E0, +7256E-07
+10900E0, +7216E-07
+11000E0, +7166E-07
+11100E0, +7184E-07
+11200E0, +7163E-07
+11300E0, +7213E-07
+11400E0, +7272E-07
+11500E0, +7194E-07
+11600E0, +7191E-07
+11700E0, +7219E-07
+11800E0, +7209E-07
+11900E0, +7247E-07
+12000E0, +7297E-07
+12100E0, +7181E-07
+12200E0, +7106E-07
+12300E0, +7134E-07
+12400E0, +7181E-07
+12500E0, +7138E-07
+12600E0, +7100E-07
+12700E0, +7244E-07
+12800E0, +7178E-07
+12900E0, +7041E-07
+13000E0, +7003E-07
