Size(um)	%Chan	 %  Pass 
2000	0	100
1674	0	100
1408	0	100
1184	0	100
995.6	0	100
837.2	1.68	100
704	5.03	98.32
592	6.26	93.29
497.8	4.47	87.03
418.6	4.65	82.56
352	5.45	77.91
296	5.23	72.46
248.9	4.93	67.23
209.3	4.89	62.3
176	4.32	57.41
148	4	53.09
124.5	3.76	49.09
104.7	3.57	45.33
88	3.38	41.76
74	3.21	38.38
62.23	3.13	35.17
52.33	2.99	32.04
44	2.76	29.05
37	2.48	26.29
31.11	2.21	23.81
26.16	1.98	21.6
22	1.79	19.62
18.5	1.63	17.83
15.56	1.52	16.2
13.08	1.44	14.68
11	1.38	13.24
9.25	1.33	11.86
7.78	1.29	10.53
6.54	1.22	9.24
5.5	1.14	8.02
4.63	1.11	6.88
3.89	1.04	5.77
3.27	0.95	4.73
2.75	0.86	3.78
2.313	0.78	2.92
1.945	0.7	2.14
1.635	0.61	1.44
1.375	0.48	0.83
1.156	0.35	0.35
0.972	0	0
0.818	0	0
0.688	0	0
0.578	0	0
0.486	0	0
0.409	0	0
0.344	0	0
0.289	0	0
0.243	0	0
0.204	0	0
0.172	0	0
0.145	0	0
0.122	0	0
0.102	0	0
0.086	0	0
0.072	0	0
0.061	0	0
0.051	0	0
0.043	0	0
0.036	0	0
0.03	0	0
0.0255	0	0
0.0215	0	0
0.0181	0	0
0.0152	0	0
0.0128	0	0
