#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.005, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 3/18/2023 11:35:8, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.58
t (ns), A (mV)
+24900E0, +6039E-07
+25000E0, +6008E-07
+25100E0, +6031E-07
+25200E0, +6047E-07
+25300E0, +6063E-07
+25400E0, +6008E-07
+25500E0, +6055E-07
+25600E0, +6016E-07
+25700E0, +6063E-07
+25800E0, +6094E-07
+25900E0, +6063E-07
+26000E0, +6047E-07
+26100E0, +6039E-07
+26200E0, +6047E-07
+26300E0, +6047E-07
+26400E0, +6102E-07
+26500E0, +6063E-07
+26600E0, +6047E-07
+26700E0, +6102E-07
+26800E0, +6023E-07
+26900E0, +6039E-07
+27000E0, +6000E-07
+27100E0, +6086E-07
+27200E0, +6078E-07
+27300E0, +6023E-07
+27400E0, +6055E-07
+27500E0, +5992E-07
+27600E0, +6000E-07
+27700E0, +6055E-07
+27800E0, +6039E-07
+27900E0, +6047E-07
+28000E0, +6039E-07
+28100E0, +6000E-07
+28200E0, +6016E-07
+28300E0, +6008E-07
+28400E0, +6023E-07
+28500E0, +6047E-07
+28600E0, +6016E-07
+28700E0, +6000E-07
+28800E0, +6063E-07
+28900E0, +6008E-07
+29000E0, +6047E-07
+29100E0, +6070E-07
+29200E0, +6008E-07
+29300E0, +6063E-07
+29400E0, +6086E-07
+29500E0, +5992E-07
+29600E0, +6156E-07
+29700E0, +6180E-07
+29800E0, +6086E-07
+29900E0, +6078E-07
+30000E0, +6047E-07
+30100E0, +6023E-07
+30200E0, +6094E-07
+30300E0, +6141E-07
+30400E0, +6047E-07
+30500E0, +6086E-07
+30600E0, +6031E-07
+30700E0, +6023E-07
+30800E0, +6023E-07
+30900E0, +6102E-07
+31000E0, +6039E-07
+31100E0, +6023E-07
