#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.002, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 4/3/2023 9:44:41, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 3.2E-7, 1.675
t (ns), A (mV)
+20500E0, +4663E-07
+20600E0, +4597E-07
+20700E0, +4759E-07
+20800E0, +4500E-07
+20900E0, +4525E-07
+21000E0, +4597E-07
+21100E0, +4581E-07
+21200E0, +4434E-07
+21300E0, +4528E-07
+21400E0, +4797E-07
+21500E0, +4491E-07
+21600E0, +4497E-07
+21700E0, +4641E-07
+21800E0, +4691E-07
+21900E0, +4566E-07
+22000E0, +4553E-07
+22100E0, +4603E-07
+22200E0, +4713E-07
+22300E0, +4463E-07
+22400E0, +4497E-07
+22500E0, +4644E-07
+22600E0, +4641E-07
+22700E0, +4447E-07
+22800E0, +4647E-07
+22900E0, +4634E-07
+23000E0, +4488E-07
+23100E0, +4538E-07
+23200E0, +4684E-07
+23300E0, +4572E-07
+23400E0, +4509E-07
+23500E0, +4603E-07
+23600E0, +4656E-07
+23700E0, +4703E-07
+23800E0, +4650E-07
+23900E0, +4534E-07
+24000E0, +4653E-07
+24100E0, +4641E-07
+24200E0, +4653E-07
+24300E0, +4650E-07
+24400E0, +4744E-07
+24500E0, +4513E-07
+24600E0, +4697E-07
+24700E0, +4575E-07
+24800E0, +4619E-07
+24900E0, +4522E-07
+25000E0, +4638E-07
+25100E0, +4791E-07
+25200E0, +4506E-07
+25300E0, +4597E-07
+25400E0, +4641E-07
+25500E0, +4797E-07
+25600E0, +4694E-07
+25700E0, +4516E-07
+25800E0, +4544E-07
+25900E0, +4613E-07
+26000E0, +4488E-07
+26100E0, +4547E-07
+26200E0, +4603E-07
+26300E0, +4488E-07
+26400E0, +4469E-07
+26500E0, +4500E-07
+26600E0, +4678E-07
+26700E0, +4541E-07
+26800E0, +4531E-07
+26900E0, +4641E-07
+27000E0, +4519E-07
+27100E0, +4425E-07
+27200E0, +4625E-07
+27300E0, +4575E-07
+27400E0, +4434E-07
+27500E0, +4659E-07
+27600E0, +4700E-07
+27700E0, +4644E-07
+27800E0, +4516E-07
+27900E0, +4553E-07
+28000E0, +4641E-07
+28100E0, +4644E-07
+28200E0, +4488E-07
+28300E0, +4644E-07
+28400E0, +4631E-07
+28500E0, +4628E-07
+28600E0, +4528E-07
+28700E0, +4603E-07
+28800E0, +4763E-07
+28900E0, +4572E-07
+29000E0, +4584E-07
+29100E0, +4703E-07
+29200E0, +4638E-07
+29300E0, +4631E-07
+29400E0, +4634E-07
+29500E0, +4666E-07
+29600E0, +4606E-07
+29700E0, +4663E-07
+29800E0, +4753E-07
+29900E0, +4731E-07
+30000E0, +4525E-07
+30100E0, +4484E-07
+30200E0, +4759E-07
+30300E0, +4459E-07
+30400E0, +4525E-07
+30500E0, +4647E-07
+30600E0, +4666E-07
+30700E0, +4597E-07
+30800E0, +4491E-07
+30900E0, +4713E-07
+31000E0, +4609E-07
+31100E0, +4709E-07
+31200E0, +4466E-07
+31300E0, +4653E-07
+31400E0, +4522E-07
+31500E0, +4456E-07
+31600E0, +4513E-07
+31700E0, +4672E-07
+31800E0, +4666E-07
+31900E0, +4522E-07
+32000E0, +4753E-07
+32100E0, +4794E-07
+32200E0, +4516E-07
+32300E0, +4538E-07
+32400E0, +4644E-07
+32500E0, +4663E-07
+32600E0, +4438E-07
+32700E0, +4678E-07
+32800E0, +4591E-07
+32900E0, +4481E-07
+33000E0, +4684E-07
+33100E0, +4644E-07
+33200E0, +4619E-07
+33300E0, +4684E-07
+33400E0, +4534E-07
+33500E0, +4628E-07
+33600E0, +4584E-07
+33700E0, +4513E-07
+33800E0, +4603E-07
+33900E0, +4703E-07
+34000E0, +4709E-07
+34100E0, +4466E-07
+34200E0, +4672E-07
+34300E0, +4628E-07
+34400E0, +4494E-07
+34500E0, +4531E-07
+34600E0, +4678E-07
+34700E0, +4466E-07
+34800E0, +4647E-07
+34900E0, +4519E-07
+35000E0, +4594E-07
+35100E0, +4681E-07
+35200E0, +4563E-07
+35300E0, +4653E-07
+35400E0, +4722E-07
+35500E0, +4644E-07
+35600E0, +4456E-07
+35700E0, +4600E-07
+35800E0, +4606E-07
+35900E0, +4572E-07
+36000E0, +4534E-07
+36100E0, +4591E-07
+36200E0, +4631E-07
+36300E0, +4509E-07
+36400E0, +4716E-07
+36500E0, +4600E-07
+36600E0, +4653E-07
+36700E0, +4481E-07
+36800E0, +4797E-07
+36900E0, +4584E-07
+37000E0, +4641E-07
+37100E0, +4641E-07
+37200E0, +4634E-07
+37300E0, +4678E-07
+37400E0, +4672E-07
+37500E0, +4581E-07
+37600E0, +4759E-07
+37700E0, +4509E-07
+37800E0, +4584E-07
+37900E0, +4584E-07
+38000E0, +4603E-07
+38100E0, +4666E-07
+38200E0, +4684E-07
+38300E0, +4591E-07
+38400E0, +4581E-07
+38500E0, +4659E-07
+38600E0, +4684E-07
+38700E0, +4703E-07
+38800E0, +4688E-07
+38900E0, +4531E-07
+39000E0, +4694E-07
+39100E0, +4534E-07
+39200E0, +4603E-07
+39300E0, +4706E-07
+39400E0, +4666E-07
+39500E0, +4638E-07
+39600E0, +4544E-07
+39700E0, +4613E-07
+39800E0, +4431E-07
+39900E0, +4534E-07
+40000E0, +4631E-07
+40100E0, +4663E-07
+40200E0, +4644E-07
+40300E0, +4500E-07
+40400E0, +4653E-07
+40500E0, +4659E-07
+40600E0, +4563E-07
+40700E0, +4522E-07
+40800E0, +4594E-07
+40900E0, +4653E-07
+41000E0, +4491E-07
+41100E0, +4656E-07
+41200E0, +4778E-07
+41300E0, +4653E-07
+41400E0, +4466E-07
+41500E0, +4569E-07
+41600E0, +4675E-07
+41700E0, +4731E-07
+41800E0, +4641E-07
+41900E0, +4472E-07
+42000E0, +4725E-07
+42100E0, +4541E-07
+42200E0, +4791E-07
+42300E0, +4778E-07
+42400E0, +4509E-07
+42500E0, +4475E-07
+42600E0, +4719E-07
+42700E0, +4563E-07
+42800E0, +4494E-07
+42900E0, +4481E-07
+43000E0, +4672E-07
+43100E0, +4641E-07
+43200E0, +4619E-07
+43300E0, +4563E-07
+43400E0, +4619E-07
+43500E0, +4659E-07
+43600E0, +4566E-07
+43700E0, +4631E-07
+43800E0, +4653E-07
+43900E0, +4641E-07
+44000E0, +4659E-07
+44100E0, +4681E-07
+44200E0, +4534E-07
+44300E0, +4569E-07
+44400E0, +4466E-07
+44500E0, +4628E-07
+44600E0, +4497E-07
+44700E0, +4569E-07
+44800E0, +4588E-07
+44900E0, +4709E-07
+45000E0, +4681E-07
+45100E0, +4547E-07
+45200E0, +4597E-07
+45300E0, +4622E-07
+45400E0, +4550E-07
+45500E0, +4591E-07
+45600E0, +4644E-07
+45700E0, +4656E-07
