#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.02, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 3/29/2023 11:1:7, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 3.2E-7, 1.608
t (ns), A (mV)
+00000E0, +7813E-08
+10000E-2, +9375E-08
+20000E-2, +1031E-07
+30000E-2, +1563E-08
+40000E-2, +1031E-07
+50000E-2, +2813E-08
+60000E-2, +9063E-08
+70000E-2, +6875E-08
+80000E-2, +1250E-08
+90000E-2, +1000E-07
+10000E-1, +1281E-07
+11000E-1, +1281E-07
+12000E-1, +6563E-08
+13000E-1, +1344E-07
+14000E-1, +1000E-07
+15000E-1, +4688E-08
+16000E-1, +1406E-07
+17000E-1, +1094E-07
+18000E-1, +9063E-08
+19000E-1, +8125E-08
+20000E-1, +1063E-07
+21000E-1, +1219E-07
+22000E-1, +1313E-07
+23000E-1, +3125E-09
+24000E-1, +1281E-07
+25000E-1, +1250E-07
+26000E-1, +6250E-09
+27000E-1, +9375E-09
+28000E-1, +7500E-08
+29000E-1, +6563E-08
+30000E-1, +6563E-08
+31000E-1, +3438E-08
+32000E-1, +9688E-08
+33000E-1, +1563E-08
+34000E-1, +1281E-07
+35000E-1, +1000E-07
+36000E-1, +9375E-08
+37000E-1, +4375E-08
+38000E-1, +1875E-08
+39000E-1, +9063E-08
+40000E-1, +1625E-07
+41000E-1, +1375E-07
+42000E-1, +2813E-08
+43000E-1, +1250E-07
+44000E-1, +1219E-07
+45000E-1, +1031E-07
+46000E-1, +6875E-08
+47000E-1, +5937E-08
+48000E-1, +6250E-08
+49000E-1, +1563E-07
+50000E-1, +1000E-07
+51000E-1, +2500E-08
+52000E-1, +1875E-08
+53000E-1, +1406E-07
+54000E-1, +5937E-08
+55000E-1, +5313E-08
+56000E-1, +1250E-07
+57000E-1, +1969E-07
+58000E-1, +1437E-07
+59000E-1, +5313E-08
+60000E-1, +5937E-08
+61000E-1, +6250E-08
+62000E-1, +6875E-08
+63000E-1, +1625E-07
+64000E-1, +1250E-07
+65000E-1, +4063E-08
+66000E-1, +6875E-08
+67000E-1, +1094E-07
+68000E-1, +1875E-07
+69000E-1, +1719E-07
+70000E-1, +1688E-07
+71000E-1, +1875E-08
+72000E-1, +9063E-08
+73000E-1, +1500E-07
+74000E-1, +0000E00
+75000E-1, +5000E-08
+76000E-1, +1594E-07
+77000E-1, +3125E-08
+78000E-1, +2813E-08
+79000E-1, +6250E-08
+80000E-1, +1500E-07
+81000E-1, +9688E-08
+82000E-1, +1063E-07
+83000E-1, +5313E-08
+84000E-1, +9063E-08
+85000E-1, +3750E-08
+86000E-1, +1063E-07
+87000E-1, +1750E-07
+88000E-1, +1031E-07
+89000E-1, +1187E-07
+90000E-1, +1094E-07
+91000E-1, +4063E-08
+92000E-1, +1688E-07
+93000E-1, +5937E-08
+94000E-1, +1063E-07
+95000E-1, +1594E-07
+96000E-1, +1375E-07
+97000E-1, +8750E-08
+98000E-1, +7813E-08
+99000E-1, +8125E-08
+10000E0, +1094E-07
+10100E0, +8438E-08
+10200E0, +4375E-08
+10300E0, +1719E-07
+10400E0, +3750E-08
+10500E0, +8750E-08
+10600E0, +1938E-07
+10700E0, +1000E-07
+10800E0, +1906E-07
+10900E0, +2000E-07
+11000E0, +6250E-09
+11100E0, +9375E-08
+11200E0, +1187E-07
+11300E0, +1063E-07
+11400E0, +1563E-08
+11500E0, +2500E-08
+11600E0, +1594E-07
+11700E0, +1656E-07
+11800E0, +1875E-07
+11900E0, +3438E-08
+12000E0, +6563E-08
+12100E0, +1063E-07
