#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.002, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/26/2023 6:38:34, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.45
t (ns), A (mV)
+00000E0, +1266E-06
+10000E-2, +1283E-06
+20000E-2, +1283E-06
+30000E-2, +1274E-06
+40000E-2, +1272E-06
+50000E-2, +1277E-06
+60000E-2, +1281E-06
+70000E-2, +1277E-06
+80000E-2, +1278E-06
+90000E-2, +1282E-06
+10000E-1, +1279E-06
+11000E-1, +1273E-06
+12000E-1, +1280E-06
+13000E-1, +1290E-06
+14000E-1, +1258E-06
+15000E-1, +1281E-06
+16000E-1, +1279E-06
+17000E-1, +1265E-06
+18000E-1, +1269E-06
+19000E-1, +1281E-06
+20000E-1, +1285E-06
+21000E-1, +1268E-06
+22000E-1, +1279E-06
+23000E-1, +1266E-06
+24000E-1, +1280E-06
+25000E-1, +1269E-06
+26000E-1, +1267E-06
+27000E-1, +1280E-06
+28000E-1, +1275E-06
+29000E-1, +1281E-06
+30000E-1, +1275E-06
+31000E-1, +1295E-06
+32000E-1, +1279E-06
+33000E-1, +1261E-06
+34000E-1, +1282E-06
+35000E-1, +1279E-06
+36000E-1, +1271E-06
+37000E-1, +1261E-06
+38000E-1, +1280E-06
+39000E-1, +1272E-06
+40000E-1, +1281E-06
+41000E-1, +1280E-06
+42000E-1, +1281E-06
+43000E-1, +1280E-06
+44000E-1, +1277E-06
+45000E-1, +1278E-06
+46000E-1, +1286E-06
+47000E-1, +1281E-06
+48000E-1, +1272E-06
+49000E-1, +1284E-06
+50000E-1, +1287E-06
+51000E-1, +1280E-06
+52000E-1, +1260E-06
+53000E-1, +1280E-06
+54000E-1, +1283E-06
+55000E-1, +1261E-06
+56000E-1, +1282E-06
+57000E-1, +1289E-06
+58000E-1, +1278E-06
+59000E-1, +1262E-06
+60000E-1, +1285E-06
+61000E-1, +1283E-06
+62000E-1, +1260E-06
+63000E-1, +1271E-06
+64000E-1, +1279E-06
+65000E-1, +1276E-06
+66000E-1, +1281E-06
+67000E-1, +1277E-06
+68000E-1, +1284E-06
+69000E-1, +1273E-06
+70000E-1, +1279E-06
+71000E-1, +1288E-06
+72000E-1, +1271E-06
+73000E-1, +1276E-06
+74000E-1, +1272E-06
+75000E-1, +1289E-06
+76000E-1, +1279E-06
+77000E-1, +1275E-06
+78000E-1, +1267E-06
+79000E-1, +1282E-06
+80000E-1, +1265E-06
+81000E-1, +1266E-06
+82000E-1, +1281E-06
+83000E-1, +1283E-06
+84000E-1, +1275E-06
+85000E-1, +1274E-06
+86000E-1, +1285E-06
+87000E-1, +1283E-06
+88000E-1, +1272E-06
+89000E-1, +1276E-06
+90000E-1, +1284E-06
+91000E-1, +1272E-06
+92000E-1, +1280E-06
+93000E-1, +1275E-06
+94000E-1, +1277E-06
+95000E-1, +1268E-06
+96000E-1, +1282E-06
+97000E-1, +1276E-06
+98000E-1, +1280E-06
+99000E-1, +1280E-06
+10000E0, +1282E-06
+10100E0, +1289E-06
+10200E0, +1276E-06
+10300E0, +1278E-06
+10400E0, +1277E-06
+10500E0, +1283E-06
+10600E0, +1272E-06
+10700E0, +1282E-06
+10800E0, +1285E-06
+10900E0, +1276E-06
+11000E0, +1278E-06
+11100E0, +1281E-06
+11200E0, +1282E-06
+11300E0, +1277E-06
+11400E0, +1273E-06
+11500E0, +1270E-06
+11600E0, +1283E-06
+11700E0, +1269E-06
