#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.005, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/26/2023 2:4:48, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.388
t (ns), A (mV)
+20500E0, +1063E-06
+20600E0, +1084E-06
+20700E0, +1030E-06
+20800E0, +1063E-06
+20900E0, +1066E-06
+21000E0, +1056E-06
+21100E0, +1034E-06
+21200E0, +1087E-06
+21300E0, +1023E-06
+21400E0, +1012E-06
+21500E0, +1079E-06
+21600E0, +1030E-06
+21700E0, +1065E-06
+21800E0, +1021E-06
+21900E0, +1048E-06
+22000E0, +1042E-06
+22100E0, +1045E-06
+22200E0, +1061E-06
+22300E0, +1060E-06
+22400E0, +1006E-06
+22500E0, +1087E-06
+22600E0, +1041E-06
+22700E0, +1092E-06
+22800E0, +1070E-06
+22900E0, +1048E-06
+23000E0, +1080E-06
+23100E0, +1074E-06
+23200E0, +1035E-06
+23300E0, +1063E-06
+23400E0, +1063E-06
+23500E0, +1031E-06
+23600E0, +1095E-06
+23700E0, +1038E-06
+23800E0, +1061E-06
+23900E0, +1099E-06
+24000E0, +1067E-06
+24100E0, +1072E-06
+24200E0, +1064E-06
+24300E0, +1002E-06
+24400E0, +1090E-06
+24500E0, +1055E-06
+24600E0, +1069E-06
+24700E0, +1074E-06
+24800E0, +1060E-06
+24900E0, +1050E-06
+25000E0, +1065E-06
+25100E0, +1041E-06
+25200E0, +1090E-06
+25300E0, +1027E-06
+25400E0, +1061E-06
+25500E0, +1053E-06
+25600E0, +1057E-06
+25700E0, +1016E-06
+25800E0, +1045E-06
+25900E0, +1059E-06
+26000E0, +1059E-06
+26100E0, +1033E-06
+26200E0, +1054E-06
+26300E0, +1101E-06
+26400E0, +1012E-06
+26500E0, +1056E-06
+26600E0, +1037E-06
+26700E0, +1070E-06
+26800E0, +1075E-06
+26900E0, +1026E-06
+27000E0, +1063E-06
+27100E0, +1058E-06
+27200E0, +1027E-06
+27300E0, +1048E-06
+27400E0, +1076E-06
+27500E0, +1038E-06
+27600E0, +1070E-06
+27700E0, +1046E-06
+27800E0, +1051E-06
+27900E0, +1072E-06
+28000E0, +1064E-06
+28100E0, +1088E-06
+28200E0, +1038E-06
+28300E0, +1024E-06
+28400E0, +1077E-06
+28500E0, +1071E-06
+28600E0, +1079E-06
+28700E0, +1058E-06
+28800E0, +1043E-06
+28900E0, +1045E-06
+29000E0, +1050E-06
+29100E0, +1020E-06
+29200E0, +1026E-06
+29300E0, +1009E-06
+29400E0, +1045E-06
+29500E0, +1009E-06
+29600E0, +1043E-06
+29700E0, +1031E-06
+29800E0, +1012E-06
+29900E0, +1059E-06
+30000E0, +1030E-06
+30100E0, +1063E-06
+30200E0, +1046E-06
+30300E0, +1057E-06
+30400E0, +1063E-06
+30500E0, +1041E-06
+30600E0, +1016E-06
+30700E0, +1100E-06
+30800E0, +1052E-06
+30900E0, +1033E-06
+31000E0, +1046E-06
+31100E0, +1080E-06
+31200E0, +1021E-06
+31300E0, +1058E-06
+31400E0, +1041E-06
+31500E0, +1066E-06
+31600E0, +1078E-06
+31700E0, +1063E-06
+31800E0, +1098E-06
+31900E0, +1093E-06
