VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
290	1.569	0.450
251	1.598	0.440
256	1.589	0.443
273	1.575	0.448
257	1.570	0.450
249	1.596	0.440
259	1.618	0.433
246	1.610	0.435
242	1.595	0.441
283	1.634	0.427
273	1.586	0.444
276	1.577	0.447
265	1.581	0.446
256	1.559	0.453
263	1.604	0.438
256	1.632	0.428
260	1.649	0.422
253	1.571	0.449
281	1.536	0.461
288	1.536	0.461
290	1.698	0.405
315	1.665	0.416
307	1.726	0.395
270	1.658	0.419
258	1.643	0.424
287	1.648	0.422
297	1.716	0.398
299	1.743	0.389
303	1.669	0.415
311	1.717	0.398
322	1.744	0.388
310	1.741	0.389
310	1.709	0.401
312	1.699	0.404
302	1.679	0.411
293	1.692	0.407
305	1.699	0.404
297	1.731	0.393
297	1.670	0.415
281	1.674	0.413
256	1.445	0.493
222	1.478	0.482
230	1.479	0.481
264	1.451	0.491
238	1.479	0.481
261	1.466	0.486
254	1.454	0.490
253	1.486	0.479
249	1.445	0.493
255	1.398	0.510
250	1.435	0.497
250	1.464	0.487
231	1.438	0.496
231	1.443	0.494
255	1.446	0.493
227	1.469	0.485
228	1.453	0.490
247	1.436	0.496
241	1.465	0.486
212	1.459	0.488
