VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
253	1.603	0.450
248	1.590	0.454
263	1.607	0.449
305	1.592	0.454
227	1.610	0.448
284	1.606	0.449
298	1.618	0.445
290	1.631	0.440
253	1.574	0.460
281	1.580	0.458
281	1.597	0.452
267	1.559	0.465
266	1.549	0.469
269	1.580	0.458
271	1.600	0.451
283	1.619	0.445
281	1.638	0.438
260	1.630	0.441
283	1.649	0.434
257	1.602	0.450
300	1.714	0.412
286	1.743	0.402
246	1.677	0.425
313	1.693	0.419
294	1.713	0.412
279	1.704	0.415
308	1.712	0.412
288	1.635	0.439
276	1.684	0.422
280	1.698	0.417
265	1.663	0.429
265	1.704	0.415
336	1.680	0.423
274	1.697	0.418
276	1.692	0.420
313	1.655	0.432
304	1.720	0.410
245	1.706	0.415
318	1.693	0.419
289	1.708	0.414
230	1.454	0.501
232	1.456	0.500
235	1.482	0.492
245	1.454	0.501
238	1.459	0.499
251	1.448	0.503
243	1.459	0.499
239	1.434	0.508
246	1.485	0.490
237	1.420	0.513
235	1.429	0.510
227	1.408	0.517
228	1.437	0.507
233	1.429	0.510
231	1.450	0.502
253	1.466	0.497
229	1.418	0.514
248	1.443	0.505
267	1.519	0.479
242	1.465	0.497
