VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (Mpa)
239	1.521	0.490	0.005
355	1.609	0.460	0.03
395	1.621	0.456	0.055
439	1.630	0.453	0.08
260	1.638	0.450	0.005
372	1.676	0.437	0.03
415	1.695	0.431	0.055
473	1.727	0.420	0.08
254	1.581	0.469	0.005
370	1.645	0.448	0.03
398	1.666	0.441	0.055
423	1.671	0.439	0.08
207	1.577	0.471	0.005
337	1.671	0.439	0.03
378	1.697	0.430	0.055
411	1.710	0.426	0.08
255	1.617	0.457	0.005
365	1.696	0.431	0.03
420	1.710	0.426	0.055
433	1.713	0.425	0.08
237	1.694	0.432	0.005
355	1.715	0.425	0.03
406	1.731	0.419	0.055
431	1.736	0.417	0.08
266	1.670	0.439	0.005
378	1.746	0.414	0.03
416	1.777	0.404	0.055
440	1.782	0.402	0.08
