VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
2110	1.021	0.580
2345	1.023	0.580
1758	0.932	0.617
1513	0.914	0.624
1364	0.925	0.620
2586	1.349	0.445
2065	1.410	0.420
2299	1.316	0.459
2093	1.279	0.474
1884	1.265	0.480
2451	1.533	0.370
2577	1.500	0.383
2710	1.477	0.393
2329	1.489	0.388
1303	0.887	0.635
2738	1.611	0.338
2689	1.593	0.345
2747	1.605	0.340
2744	1.617	0.335
2553	1.564	0.357
