VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (Mpa)
312	1.423	0.469	0.005
444	1.492	0.443	0.03
469	1.525	0.431	0.055
506	1.534	0.427	0.08
330	1.446	0.460	0.005
414	1.528	0.429	0.03
482	1.542	0.424	0.055
512	1.549	0.422	0.08
330	1.477	0.449	0.005
418	1.528	0.430	0.03
444	1.538	0.426	0.055
482	1.557	0.419	0.08
389	1.576	0.412	0.005
528	1.621	0.395	0.03
593	1.633	0.390	0.055
607	1.687	0.370	0.08
309	1.483	0.447	0.005
411	1.523	0.432	0.03
476	1.544	0.424	0.055
515	1.563	0.417	0.08
321	1.507	0.438	0.005
433	1.563	0.416	0.03
486	1.575	0.412	0.055
539	1.575	0.412	0.08
315	1.508	0.437	0.005
455	1.567	0.415	0.03
532	1.584	0.409	0.055
569	1.601	0.402	0.08
313	1.526	0.430	0.005
447	1.559	0.418	0.03
493	1.570	0.414	0.055
541	1.582	0.410	0.08
