VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (Mpa)
93	1.322	0.457	0.005
164	1.373	0.435	0.03
188	1.373	0.435	0.055
233	1.385	0.431	0.08
92	1.332	0.452	0.005
167	1.369	0.437	0.03
191	1.385	0.431	0.055
218	1.385	0.431	0.08
90	1.330	0.453	0.005
174	1.357	0.442	0.03
185	1.369	0.437	0.055
203	1.387	0.430	0.08
101	1.351	0.444	0.005
176	1.384	0.431	0.03
203	1.402	0.424	0.055
229	1.406	0.422	0.08
110	1.326	0.455	0.005
189	1.387	0.430	0.03
229	1.392	0.428	0.055
252	1.400	0.424	0.08
