VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
75	1.645	0.448
75	1.602	0.462
78	1.590	0.466
75	1.631	0.453
80	1.601	0.463
82	1.708	0.427
74	1.723	0.422
71	1.579	0.470
74	1.584	0.468
70	1.600	0.463
80	1.774	0.405
81	1.759	0.410
92	1.795	0.398
76	1.766	0.407
86	1.779	0.403
86	1.766	0.407
90	1.727	0.420
85	1.745	0.415
79	1.638	0.450
90	1.738	0.417
66	1.487	0.501
68	1.519	0.490
66	1.510	0.493
65	1.480	0.503
68	1.506	0.495
67	1.513	0.492
68	1.518	0.490
68	1.516	0.491
67	1.531	0.486
67	1.507	0.494
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
