VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
301	1.345	0.447
311	1.262	0.481
300	1.421	0.416
266	1.271	0.477
322	1.416	0.418
319	1.359	0.441
276	1.293	0.469
295	1.442	0.407
311	1.315	0.459
280	1.361	0.441
290	1.362	0.440
311	1.363	0.440
302	1.375	0.435
314	1.393	0.428
321	1.375	0.435
286	1.351	0.445
289	1.362	0.440
305	1.409	0.421
354	1.385	0.431
346	1.393	0.427
306	1.440	0.408
322	1.452	0.403
307	1.454	0.402
304	1.458	0.401
314	1.392	0.428
348	1.383	0.432
366	1.416	0.418
370	1.417	0.417
377	1.417	0.418
384	1.390	0.429
386	1.439	0.408
373	1.442	0.407
348	1.427	0.413
341	1.417	0.417
402	1.415	0.418
334	1.428	0.413
330	1.463	0.399
356	1.461	0.400
358	1.430	0.412
368	1.472	0.395
314	1.220	0.498
327	1.218	0.499
303	1.237	0.491
302	1.222	0.498
327	1.214	0.501
292	1.239	0.491
308	1.223	0.497
306	1.251	0.486
312	1.264	0.480
312	1.189	0.511
290	1.207	0.504
296	1.133	0.534
312	1.160	0.523
315	1.185	0.513
305	1.191	0.510
300	1.182	0.514
292	1.203	0.506
299	1.199	0.507
297	1.206	0.504
312	1.188	0.512
