VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
712	1.002	0.626
772	1.030	0.615
684	1.052	0.607
668	0.999	0.627
684	0.999	0.627
1239	1.116	0.583
882	1.093	0.592
745	1.007	0.624
1016	1.097	0.591
774	1.046	0.610
1198	1.318	0.508
1148	1.317	0.508
1444	1.327	0.505
1545	1.316	0.509
1380	1.316	0.509
1744	1.415	0.472
2215	1.445	0.460
1286	1.442	0.462
1508	1.428	0.467
2031	1.507	0.437
