VS (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)	PRESSURE (Mpa)
94	1.411	0.473	0.005
158	1.472	0.451	0.03
178	1.490	0.444	0.055
189	1.501	0.440	0.08
92	1.460	0.455	0.005
153	1.505	0.438	0.03
171	1.515	0.435	0.055
186	1.526	0.430	0.08
88	1.437	0.463	0.005
131	1.482	0.447	0.03
166	1.498	0.441	0.055
189	1.513	0.435	0.08
83	1.456	0.457	0.005
143	1.504	0.439	0.03
178	1.524	0.431	0.055
198	1.524	0.431	0.08
101	1.469	0.452	0.005
147	1.508	0.437	0.03
170	1.520	0.433	0.055
193	1.526	0.430	0.08
