VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
225	1.630	0.453
232	1.757	0.410
217	1.595	0.465
242	1.666	0.441
236	1.621	0.456
226	1.624	0.455
239	1.631	0.453
231	1.580	0.470
223	1.604	0.462
215	1.614	0.458
225	1.586	0.468
209	1.621	0.456
210	1.579	0.470
218	1.605	0.461
214	1.585	0.468
227	1.570	0.473
206	1.609	0.460
220	1.573	0.472
239	1.621	0.456
204	1.584	0.469
243	1.679	0.436
232	1.596	0.464
235	1.649	0.447
248	1.636	0.451
250	1.655	0.445
269	1.812	0.392
257	1.847	0.380
277	1.832	0.385
282	1.826	0.387
293	1.847	0.380
258	1.797	0.397
267	1.804	0.395
262	1.822	0.389
278	1.774	0.405
269	1.830	0.386
283	1.846	0.381
264	1.803	0.395
296	1.856	0.377
296	1.853	0.378
301	1.860	0.376
272	1.826	0.387
289	1.826	0.387
288	1.910	0.359
274	1.745	0.414
305	1.885	0.367
