VP (m/s)	BULK DENSITY (g/cm3)	POROSITY (%)
244	1.362	0.492
261	1.364	0.491
256	1.378	0.486
256	1.390	0.481
241	1.372	0.488
243	1.376	0.486
250	1.377	0.486
246	1.380	0.485
247	1.383	0.484
255	1.409	0.474
246	1.402	0.477
288	1.390	0.481
237	1.422	0.469
303	1.418	0.471
260	1.461	0.455
277	1.406	0.475
301	1.461	0.455
257	1.442	0.462
278	1.429	0.467
275	1.472	0.451
301	1.435	0.464
291	1.463	0.454
313	1.475	0.450
285	1.497	0.441
314	1.502	0.439
322	1.447	0.460
282	1.452	0.458
298	1.584	0.409
275	1.592	0.406
304	1.580	0.410
301	1.621	0.395
328	1.560	0.418
341	1.595	0.404
338	1.578	0.411
353	1.600	0.403
320	1.613	0.398
333	1.606	0.401
352	1.592	0.406
360	1.570	0.414
334	1.596	0.404
327	1.596	0.404
331	1.607	0.400
359	1.557	0.419
353	1.579	0.410
352	1.538	0.426
346	1.581	0.410
258	1.536	0.427
352	1.515	0.434
339	1.551	0.421
344	1.522	0.432
261	1.326	0.505
259	1.329	0.504
256	1.341	0.499
244	1.335	0.502
252	1.327	0.505
254	1.326	0.505
246	1.341	0.499
252	1.336	0.501
250	1.311	0.511
255	1.336	0.501
262	1.275	0.524
266	1.358	0.493
247	1.354	0.495
249	1.311	0.510
258	1.357	0.494
256	1.307	0.512
270	1.338	0.500
278	1.317	0.508
257	1.301	0.514
284	1.324	0.506
