#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.05, 0.0, 0.0, 0.0, 0.0, -4.500000000000001E-6, 0.0, 3/28/2023 9:36:30, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.334
t (ns), A (mV)
+00000E0, +2500E-07
+10000E-3, +7031E-08
+20000E-3, +1016E-07
+30000E-3, +5469E-08
+40000E-3, +7813E-09
+50000E-3, +2188E-07
+60000E-3, +2188E-07
+70000E-3, +1484E-07
+80000E-3, +1250E-07
+90000E-3, +3906E-08
+10000E-2, +1172E-07
+11000E-2, +9375E-08
+12000E-2, +9375E-08
+13000E-2, +2344E-08
+14000E-2, +2031E-07
+15000E-2, +3906E-08
+16000E-2, +2344E-08
+17000E-2, +1563E-08
+18000E-2, +1094E-07
+19000E-2, +1563E-07
+20000E-2, +4688E-08
+21000E-2, +1172E-07
+22000E-2, +4688E-08
+23000E-2, +3906E-08
+24000E-2, +1641E-07
+25000E-2, +4688E-08
+26000E-2, +7813E-08
+27000E-2, +1094E-07
+28000E-2, +1250E-07
+29000E-2, +2344E-07
+30000E-2, +7031E-08
+31000E-2, +1172E-07
+32000E-2, +5469E-08
+33000E-2, +1406E-07
+34000E-2, +2813E-07
+35000E-2, +1094E-07
+36000E-2, +6250E-08
+37000E-2, +1719E-07
+38000E-2, +9375E-08
+39000E-2, +3047E-07
+40000E-2, +5469E-08
+41000E-2, +3906E-08
+42000E-2, +8594E-08
+43000E-2, +2266E-07
+44000E-2, +7813E-08
+45000E-2, +2031E-07
+46000E-2, +1641E-07
+47000E-2, +5469E-08
+48000E-2, +5469E-08
+49000E-2, +1953E-07
+50000E-2, +2422E-07
+51000E-2, +3125E-08
+52000E-2, +2344E-07
+53000E-2, +2422E-07
+54000E-2, +1250E-07
+55000E-2, +3359E-07
+56000E-2, +6250E-08
+57000E-2, +2109E-07
+58000E-2, +1406E-07
+59000E-2, +1719E-07
+60000E-2, +1094E-07
+61000E-2, +2969E-07
+62000E-2, +3125E-07
+63000E-2, +2422E-07
+64000E-2, +4688E-08
+65000E-2, +1250E-07
+66000E-2, +8594E-08
+67000E-2, +3125E-08
+68000E-2, +2656E-07
+69000E-2, +2109E-07
+70000E-2, +3437E-07
+71000E-2, +1328E-07
+72000E-2, +2031E-07
+73000E-2, +1719E-07
+74000E-2, +1563E-07
+75000E-2, +1016E-07
+76000E-2, +7813E-09
+77000E-2, +1406E-07
+78000E-2, +1563E-08
+79000E-2, +1953E-07
+80000E-2, +9375E-08
+81000E-2, +7031E-08
+82000E-2, +1953E-07
+83000E-2, +4688E-08
+84000E-2, +5156E-07
+85000E-2, -7813E-09
+86000E-2, +1094E-07
+87000E-2, +1953E-07
+88000E-2, +0000E00
+89000E-2, +3437E-07
+90000E-2, +7031E-08
