#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.02, 0.0, 0.0, 0.0, 0.0, -1.0000000000000243E-7, 0.0, 3/28/2023 8:36:33, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.349
t (ns), A (mV)
+00000E0, +2656E-07
+10000E-3, +3969E-07
+20000E-3, +3594E-07
+30000E-3, +3406E-07
+40000E-3, +3219E-07
+50000E-3, +2531E-07
+60000E-3, +2406E-07
+70000E-3, +3687E-07
+80000E-3, +3125E-07
+90000E-3, +3344E-07
+10000E-2, +2469E-07
+11000E-2, +4031E-07
+12000E-2, +1781E-07
+13000E-2, +3125E-07
+14000E-2, +2000E-07
+15000E-2, +9719E-07
+16000E-2, -5719E-07
+17000E-2, +4094E-07
+18000E-2, +1875E-06
+19000E-2, +9375E-09
+20000E-2, -1844E-07
+21000E-2, +5969E-07
+22000E-2, +1584E-06
+23000E-2, +8156E-07
+24000E-2, -1187E-06
+25000E-2, +7750E-07
+26000E-2, +1203E-06
+27000E-2, +1500E-07
+28000E-2, -6063E-07
+29000E-2, -3969E-07
+30000E-2, +1475E-06
+31000E-2, -1750E-07
+32000E-2, -7969E-07
+33000E-2, -1594E-07
+34000E-2, +3969E-07
+35000E-2, +4000E-07
+36000E-2, -1228E-06
+37000E-2, -2438E-07
+38000E-2, +4000E-07
+39000E-2, -1469E-07
+40000E-2, -7313E-07
+41000E-2, -9781E-07
+42000E-2, +6094E-07
+43000E-2, +1875E-08
+44000E-2, -6594E-07
+45000E-2, -1125E-07
+46000E-2, +4781E-07
+47000E-2, +7781E-07
+48000E-2, -1469E-07
+49000E-2, +2469E-07
+50000E-2, +8000E-07
+51000E-2, +8031E-07
+52000E-2, +1406E-07
+53000E-2, -3125E-09
+54000E-2, +8063E-07
+55000E-2, +6188E-07
+56000E-2, +1063E-07
+57000E-2, +2094E-07
+58000E-2, +5344E-07
+59000E-2, +8813E-07
+60000E-2, +2219E-07
+61000E-2, +3563E-07
+62000E-2, +8031E-07
+63000E-2, +8031E-07
+64000E-2, +4031E-07
+65000E-2, +2281E-07
+66000E-2, +6438E-07
+67000E-2, +6438E-07
+68000E-2, +2969E-07
+69000E-2, +4688E-08
+70000E-2, +4000E-07
+71000E-2, +4875E-07
+72000E-2, +6250E-08
+73000E-2, +2500E-08
+74000E-2, +2406E-07
+75000E-2, +4031E-07
+76000E-2, +2688E-07
+77000E-2, +0000E00
+78000E-2, +3531E-07
+79000E-2, +4031E-07
+80000E-2, +2125E-07
+81000E-2, +1000E-07
+82000E-2, +2188E-07
+83000E-2, +4000E-07
+84000E-2, +3094E-07
+85000E-2, +9375E-08
+86000E-2, +3344E-07
+87000E-2, +4000E-07
+88000E-2, +4031E-07
+89000E-2, +1781E-07
