#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.02, 0.0, 0.0, 0.0, 0.0, -3.3000000000000057E-6, 0.0, 3/28/2023 8:22:4, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.349
t (ns), A (mV)
+00000E0, +2563E-07
+10000E-3, +2719E-07
+20000E-3, +2469E-07
+30000E-3, +2594E-07
+40000E-3, +2469E-07
+50000E-3, +2219E-07
+60000E-3, +2781E-07
+70000E-3, +2625E-07
+80000E-3, +2594E-07
+90000E-3, +2406E-07
+10000E-2, +2781E-07
+11000E-2, +2625E-07
+12000E-2, +2656E-07
+13000E-2, +2438E-07
+14000E-2, +2531E-07
+15000E-2, +2188E-07
+16000E-2, +2406E-07
+17000E-2, +2406E-07
+18000E-2, +2469E-07
+19000E-2, +2531E-07
+20000E-2, +2531E-07
+21000E-2, +2281E-07
+22000E-2, +2531E-07
+23000E-2, +2156E-07
+24000E-2, +2563E-07
+25000E-2, +2656E-07
+26000E-2, +1938E-07
+27000E-2, +2344E-07
+28000E-2, +2594E-07
+29000E-2, +2531E-07
+30000E-2, +2625E-07
+31000E-2, +2406E-07
+32000E-2, +2531E-07
+33000E-2, +2313E-07
+34000E-2, +2469E-07
+35000E-2, +2406E-07
+36000E-2, +2531E-07
+37000E-2, +2813E-07
+38000E-2, +2875E-07
+39000E-2, +2281E-07
+40000E-2, +2250E-07
+41000E-2, +2938E-07
+42000E-2, +2531E-07
+43000E-2, +2688E-07
+44000E-2, +2656E-07
+45000E-2, +2656E-07
+46000E-2, +2531E-07
+47000E-2, +2625E-07
+48000E-2, +2781E-07
+49000E-2, +2750E-07
+50000E-2, +2594E-07
+51000E-2, +2375E-07
+52000E-2, +2625E-07
+53000E-2, +2594E-07
+54000E-2, +2375E-07
+55000E-2, +2563E-07
+56000E-2, +2500E-07
+57000E-2, +2281E-07
+58000E-2, +2375E-07
+59000E-2, +2375E-07
+60000E-2, +2563E-07
+61000E-2, +2781E-07
+62000E-2, +2438E-07
+63000E-2, +2188E-07
+64000E-2, +2656E-07
+65000E-2, +2656E-07
+66000E-2, +2500E-07
+67000E-2, +2531E-07
+68000E-2, +2500E-07
+69000E-2, +2563E-07
+70000E-2, +2344E-07
+71000E-2, +2438E-07
+72000E-2, +2438E-07
+73000E-2, +2531E-07
+74000E-2, +2594E-07
+75000E-2, +2625E-07
+76000E-2, +2406E-07
+77000E-2, +2656E-07
+78000E-2, +2344E-07
+79000E-2, +2438E-07
+80000E-2, +2625E-07
+81000E-2, +2375E-07
+82000E-2, +2469E-07
+83000E-2, +2219E-07
+84000E-2, +2344E-07
+85000E-2, +2375E-07
+86000E-2, +2469E-07
+87000E-2, +2688E-07
+88000E-2, +2375E-07
+89000E-2, +2156E-07
+90000E-2, +2688E-07
+91000E-2, +2719E-07
+92000E-2, +2688E-07
+93000E-2, +2594E-07
+94000E-2, +2531E-07
+95000E-2, +2563E-07
+96000E-2, +2531E-07
+97000E-2, +2563E-07
+98000E-2, +2625E-07
+99000E-2, +2531E-07
+10000E-1, +2469E-07
+10100E-1, +2469E-07
+10200E-1, +2563E-07
+10300E-1, +2625E-07
+10400E-1, +2531E-07
+10500E-1, +2500E-07
+10600E-1, +2406E-07
+10700E-1, +2531E-07
+10800E-1, +2625E-07
+10900E-1, +2531E-07
+11000E-1, +2719E-07
+11100E-1, +2500E-07
+11200E-1, +2688E-07
+11300E-1, +2344E-07
+11400E-1, +2688E-07
+11500E-1, +2656E-07
+11600E-1, +2969E-07
+11700E-1, +2969E-07
+11800E-1, +2219E-07
+11900E-1, +3344E-07
+12000E-1, +2719E-07
+12100E-1, +2406E-07
+12200E-1, +2625E-07
+12300E-1, +2250E-07
+12400E-1, +2000E-07
+12500E-1, +2531E-07
+12600E-1, +2688E-07
+12700E-1, +2500E-07
+12800E-1, +2344E-07
+12900E-1, +2469E-07
+13000E-1, +2500E-07
+13100E-1, +2313E-07
+13200E-1, +2750E-07
+13300E-1, +2344E-07
+13400E-1, +2781E-07
+13500E-1, +2000E-07
+13600E-1, +2656E-07
+13700E-1, +2500E-07
+13800E-1, +2406E-07
+13900E-1, +2719E-07
+14000E-1, +2750E-07
+14100E-1, +2625E-07
+14200E-1, +2500E-07
+14300E-1, +3250E-07
+14400E-1, +2781E-07
+14500E-1, +2500E-07
+14600E-1, +2594E-07
+14700E-1, +2469E-07
+14800E-1, +2344E-07
+14900E-1, +2313E-07
+15000E-1, +2594E-07
+15100E-1, +2594E-07
+15200E-1, +2656E-07
+15300E-1, +2531E-07
+15400E-1, +2563E-07
+15500E-1, +2375E-07
+15600E-1, +2469E-07
+15700E-1, +2469E-07
+15800E-1, +2531E-07
+15900E-1, +2625E-07
+16000E-1, +2563E-07
+16100E-1, +2875E-07
+16200E-1, +2719E-07
+16300E-1, +2469E-07
+16400E-1, +2750E-07
+16500E-1, +2344E-07
+16600E-1, +2531E-07
+16700E-1, +2719E-07
+16800E-1, +2500E-07
+16900E-1, +2750E-07
+17000E-1, +2594E-07
+17100E-1, +2313E-07
+17200E-1, +2656E-07
+17300E-1, +2563E-07
+17400E-1, +2188E-07
+17500E-1, +2688E-07
+17600E-1, +2469E-07
+17700E-1, +2594E-07
+17800E-1, +2938E-07
+17900E-1, +2469E-07
+18000E-1, +2531E-07
+18100E-1, +2750E-07
+18200E-1, +2375E-07
+18300E-1, +2344E-07
+18400E-1, +2188E-07
+18500E-1, +2750E-07
+18600E-1, +2625E-07
+18700E-1, +2594E-07
+18800E-1, +2375E-07
+18900E-1, +2594E-07
+19000E-1, +2688E-07
+19100E-1, +2375E-07
+19200E-1, +2813E-07
+19300E-1, +2438E-07
+19400E-1, +2469E-07
+19500E-1, +2219E-07
+19600E-1, +2250E-07
+19700E-1, +2719E-07
+19800E-1, +2469E-07
+19900E-1, +2563E-07
+20000E-1, +2781E-07
+20100E-1, +2438E-07
+20200E-1, +2125E-07
+20300E-1, +2594E-07
+20400E-1, +2813E-07
+20500E-1, +2219E-07
+20600E-1, +2563E-07
+20700E-1, +2469E-07
+20800E-1, +2406E-07
+20900E-1, +2844E-07
+21000E-1, +2313E-07
+21100E-1, +2688E-07
+21200E-1, +2719E-07
+21300E-1, +2250E-07
+21400E-1, +2375E-07
+21500E-1, +2656E-07
+21600E-1, +2438E-07
+21700E-1, +2719E-07
+21800E-1, +2594E-07
+21900E-1, +2531E-07
+22000E-1, +2438E-07
+22100E-1, +2625E-07
+22200E-1, +2563E-07
+22300E-1, +2688E-07
+22400E-1, +2313E-07
+22500E-1, +2125E-07
+22600E-1, +2813E-07
+22700E-1, +2281E-07
+22800E-1, +2625E-07
+22900E-1, +2469E-07
+23000E-1, +2656E-07
+23100E-1, +2313E-07
+23200E-1, +2094E-07
+23300E-1, +2219E-07
+23400E-1, +2469E-07
+23500E-1, +2625E-07
+23600E-1, +2469E-07
+23700E-1, +2344E-07
+23800E-1, +2469E-07
+23900E-1, +2625E-07
+24000E-1, +2688E-07
+24100E-1, +2938E-07
+24200E-1, +2625E-07
+24300E-1, +2219E-07
+24400E-1, +2188E-07
+24500E-1, +2844E-07
+24600E-1, +2406E-07
+24700E-1, +2313E-07
+24800E-1, +2625E-07
+24900E-1, +2344E-07
+25000E-1, +2469E-07
+25100E-1, +2625E-07
+25200E-1, +2594E-07
+25300E-1, +2500E-07
+25400E-1, +2625E-07
+25500E-1, +2438E-07
+25600E-1, +2438E-07
+25700E-1, +2531E-07
+25800E-1, +2781E-07
+25900E-1, +2531E-07
+26000E-1, +2250E-07
+26100E-1, +2469E-07
+26200E-1, +2719E-07
+26300E-1, +2406E-07
+26400E-1, +2719E-07
+26500E-1, +2500E-07
+26600E-1, +2688E-07
+26700E-1, +2188E-07
+26800E-1, +2656E-07
+26900E-1, +2938E-07
+27000E-1, +2563E-07
+27100E-1, +2563E-07
+27200E-1, +2531E-07
+27300E-1, +2062E-07
+27400E-1, +2406E-07
+27500E-1, +2469E-07
+27600E-1, +2563E-07
+27700E-1, +2344E-07
+27800E-1, +2750E-07
+27900E-1, +2469E-07
+28000E-1, +2438E-07
+28100E-1, +2438E-07
+28200E-1, +2313E-07
+28300E-1, +2438E-07
+28400E-1, +2469E-07
+28500E-1, +2438E-07
+28600E-1, +2625E-07
+28700E-1, +2688E-07
+28800E-1, +2969E-07
+28900E-1, +2625E-07
+29000E-1, +2656E-07
+29100E-1, +2250E-07
+29200E-1, +2406E-07
+29300E-1, +2438E-07
+29400E-1, +2531E-07
+29500E-1, +2781E-07
+29600E-1, +2469E-07
+29700E-1, +2469E-07
+29800E-1, +2531E-07
+29900E-1, +2406E-07
+30000E-1, +2500E-07
+30100E-1, +2688E-07
+30200E-1, +2563E-07
+30300E-1, +2500E-07
+30400E-1, +2938E-07
+30500E-1, +2719E-07
+30600E-1, +2531E-07
+30700E-1, +2188E-07
+30800E-1, +2531E-07
+30900E-1, +2719E-07
+31000E-1, +2625E-07
+31100E-1, +2625E-07
+31200E-1, +2563E-07
+31300E-1, +2375E-07
+31400E-1, +3000E-07
+31500E-1, +2625E-07
+31600E-1, +2375E-07
+31700E-1, +2438E-07
+31800E-1, +2563E-07
+31900E-1, +2438E-07
+32000E-1, +2406E-07
+32100E-1, +2563E-07
+32200E-1, +2563E-07
+32300E-1, +2438E-07
+32400E-1, +2813E-07
+32500E-1, +3000E-07
+32600E-1, +2406E-07
+32700E-1, +2813E-07
+32800E-1, +2531E-07
+32900E-1, +2719E-07
+33000E-1, +2281E-07
+33100E-1, +4031E-07
+33200E-1, +4688E-08
+33300E-1, +2188E-07
+33400E-1, +7500E-08
+33500E-1, +9687E-07
+33600E-1, -7063E-07
+33700E-1, +3344E-07
+33800E-1, +1687E-06
+33900E-1, +1031E-07
+34000E-1, -1594E-07
+34100E-1, +6281E-07
+34200E-1, +1609E-06
+34300E-1, +8031E-07
+34400E-1, -1116E-06
+34500E-1, +7969E-07
+34600E-1, +1216E-06
+34700E-1, +3625E-07
+34800E-1, -5406E-07
+34900E-1, -3938E-07
+35000E-1, +1375E-06
+35100E-1, -1156E-07
+35200E-1, -8031E-07
+35300E-1, -2031E-07
+35400E-1, +4125E-07
+35500E-1, +2969E-07
+35600E-1, -1206E-06
+35700E-1, -3750E-07
+35800E-1, +2438E-07
+35900E-1, -2406E-07
+36000E-1, -9438E-07
+36100E-1, -1187E-06
+36200E-1, +4000E-07
+36300E-1, -1563E-07
+36400E-1, -8344E-07
+36500E-1, -3844E-07
+36600E-1, +3344E-07
+36700E-1, +4313E-07
+36800E-1, -3906E-07
+36900E-1, +3125E-09
+37000E-1, +5438E-07
+37100E-1, +6313E-07
+37200E-1, +6250E-09
+37300E-1, -1844E-07
+37400E-1, +7000E-07
+37500E-1, +4375E-07
+37600E-1, +6250E-09
+37700E-1, +1563E-08
+37800E-1, +4188E-07
+37900E-1, +8063E-07
+38000E-1, +1844E-07
+38100E-1, +1750E-07
+38200E-1, +6719E-07
+38300E-1, +7594E-07
+38400E-1, +4000E-07
+38500E-1, +2000E-07
+38600E-1, +6063E-07
+38700E-1, +5594E-07
+38800E-1, +2594E-07
+38900E-1, +2500E-08
+39000E-1, +2656E-07
+39100E-1, +4719E-07
+39200E-1, +5000E-08
+39300E-1, +1250E-08
+39400E-1, +2688E-07
+39500E-1, +4063E-07
+39600E-1, +2313E-07
+39700E-1, +6250E-09
+39800E-1, +2688E-07
+39900E-1, +4031E-07
+40000E-1, +2094E-07
+40100E-1, +2813E-08
+40200E-1, +2219E-07
+40300E-1, +4000E-07
+40400E-1, +2656E-07
+40500E-1, +1250E-08
+40600E-1, +2313E-07
+40700E-1, +4094E-07
+40800E-1, +2813E-07
+40900E-1, +2313E-07
+41000E-1, +3406E-07
+41100E-1, +4094E-07
+41200E-1, +4156E-07
+41300E-1, +2438E-07
+41400E-1, +2750E-07
+41500E-1, +4063E-07
+41600E-1, +3375E-07
+41700E-1, +2250E-07
+41800E-1, +2563E-07
+41900E-1, +3406E-07
+42000E-1, +2656E-07
+42100E-1, +2219E-07
+42200E-1, +2219E-07
+42300E-1, +2875E-07
+42400E-1, +2938E-07
+42500E-1, +1906E-07
+42600E-1, +2250E-07
+42700E-1, +2469E-07
+42800E-1, +2500E-07
+42900E-1, +2563E-07
+43000E-1, +2000E-07
+43100E-1, +2500E-07
+43200E-1, +2594E-07
+43300E-1, +2531E-07
+43400E-1, +2313E-07
+43500E-1, +2594E-07
+43600E-1, +2375E-07
+43700E-1, +1938E-07
+43800E-1, +1531E-07
+43900E-1, +2563E-07
+44000E-1, +2625E-07
+44100E-1, +2281E-07
+44200E-1, +2062E-07
+44300E-1, +2688E-07
+44400E-1, +2438E-07
+44500E-1, +2688E-07
+44600E-1, +2563E-07
+44700E-1, +2219E-07
+44800E-1, +2594E-07
+44900E-1, +2500E-07
+45000E-1, +2219E-07
+45100E-1, +2531E-07
+45200E-1, +2656E-07
+45300E-1, +2656E-07
+45400E-1, +2406E-07
+45500E-1, +2906E-07
+45600E-1, +2938E-07
+45700E-1, +2594E-07
+45800E-1, +2281E-07
+45900E-1, +2563E-07
+46000E-1, +2469E-07
+46100E-1, +2406E-07
+46200E-1, +2500E-07
+46300E-1, +2094E-07
+46400E-1, +2438E-07
+46500E-1, +2656E-07
+46600E-1, +2406E-07
+46700E-1, +2344E-07
+46800E-1, +2781E-07
+46900E-1, +2250E-07
+47000E-1, +2563E-07
+47100E-1, +2313E-07
+47200E-1, +2281E-07
+47300E-1, +2688E-07
+47400E-1, +2344E-07
+47500E-1, +2281E-07
+47600E-1, +2469E-07
+47700E-1, +2719E-07
+47800E-1, +2344E-07
+47900E-1, +2438E-07
+48000E-1, +2469E-07
+48100E-1, +2563E-07
+48200E-1, +3062E-07
+48300E-1, +2656E-07
+48400E-1, +2625E-07
+48500E-1, +2563E-07
+48600E-1, +2875E-07
+48700E-1, +2594E-07
+48800E-1, +2656E-07
+48900E-1, +2531E-07
+49000E-1, +2594E-07
+49100E-1, +2406E-07
+49200E-1, +2844E-07
+49300E-1, +2500E-07
+49400E-1, +2438E-07
+49500E-1, +1938E-07
+49600E-1, +2406E-07
+49700E-1, +2688E-07
+49800E-1, +2594E-07
+49900E-1, +2906E-07
+50000E-1, +2438E-07
+50100E-1, +2625E-07
+50200E-1, +2313E-07
+50300E-1, +2250E-07
+50400E-1, +2563E-07
+50500E-1, +2438E-07
+50600E-1, +2500E-07
+50700E-1, +2625E-07
+50800E-1, +2375E-07
+50900E-1, +2250E-07
+51000E-1, +2156E-07
+51100E-1, +2594E-07
+51200E-1, +2594E-07
+51300E-1, +2656E-07
+51400E-1, +2750E-07
+51500E-1, +2531E-07
+51600E-1, +2438E-07
+51700E-1, +2625E-07
+51800E-1, +2781E-07
+51900E-1, +2656E-07
+52000E-1, +2500E-07
+52100E-1, +2062E-07
+52200E-1, +3125E-07
+52300E-1, +2531E-07
+52400E-1, +2750E-07
+52500E-1, +2156E-07
+52600E-1, +2656E-07
+52700E-1, +2219E-07
+52800E-1, +2563E-07
+52900E-1, +2656E-07
+53000E-1, +2563E-07
+53100E-1, +2156E-07
+53200E-1, +2375E-07
+53300E-1, +2313E-07
+53400E-1, +2563E-07
+53500E-1, +2469E-07
+53600E-1, +2781E-07
+53700E-1, +2625E-07
+53800E-1, +2375E-07
+53900E-1, +2313E-07
+54000E-1, +2250E-07
+54100E-1, +2594E-07
+54200E-1, +2406E-07
+54300E-1, +2375E-07
+54400E-1, +2156E-07
+54500E-1, +2594E-07
+54600E-1, +2719E-07
+54700E-1, +1813E-07
+54800E-1, +2406E-07
+54900E-1, +2688E-07
+55000E-1, +2344E-07
+55100E-1, +2688E-07
+55200E-1, +2594E-07
+55300E-1, +2469E-07
+55400E-1, +2625E-07
+55500E-1, +2750E-07
+55600E-1, +2656E-07
+55700E-1, +2969E-07
+55800E-1, +2500E-07
+55900E-1, +1500E-07
+56000E-1, +2500E-07
+56100E-1, +2406E-07
+56200E-1, +2250E-07
+56300E-1, +2469E-07
+56400E-1, +2375E-07
+56500E-1, +3156E-07
+56600E-1, +2594E-07
+56700E-1, +2375E-07
+56800E-1, +2406E-07
+56900E-1, +2500E-07
+57000E-1, +2281E-07
+57100E-1, +2438E-07
+57200E-1, +2531E-07
+57300E-1, +2344E-07
+57400E-1, +2563E-07
+57500E-1, +2406E-07
+57600E-1, +2563E-07
+57700E-1, +2531E-07
+57800E-1, +1844E-07
+57900E-1, +2313E-07
+58000E-1, +2375E-07
+58100E-1, +2594E-07
+58200E-1, +2750E-07
+58300E-1, +2313E-07
+58400E-1, +2500E-07
+58500E-1, +2656E-07
+58600E-1, +2500E-07
+58700E-1, +2594E-07
+58800E-1, +2750E-07
+58900E-1, +2500E-07
+59000E-1, +2688E-07
+59100E-1, +2656E-07
+59200E-1, +2469E-07
+59300E-1, +2531E-07
+59400E-1, +2625E-07
+59500E-1, +2750E-07
+59600E-1, +2250E-07
+59700E-1, +2563E-07
+59800E-1, +2219E-07
+59900E-1, +2469E-07
+60000E-1, +2438E-07
+60100E-1, +2594E-07
+60200E-1, +2531E-07
+60300E-1, +2219E-07
+60400E-1, +2563E-07
+60500E-1, +2563E-07
+60600E-1, +2406E-07
+60700E-1, +2406E-07
+60800E-1, +2750E-07
+60900E-1, +2406E-07
+61000E-1, +2500E-07
+61100E-1, +2844E-07
+61200E-1, +2531E-07
+61300E-1, +2500E-07
+61400E-1, +3094E-07
+61500E-1, +2563E-07
+61600E-1, +2344E-07
+61700E-1, +2031E-07
+61800E-1, +2813E-07
+61900E-1, +2375E-07
+62000E-1, +2469E-07
+62100E-1, +2469E-07
+62200E-1, +2563E-07
+62300E-1, +2781E-07
+62400E-1, +2469E-07
+62500E-1, +2781E-07
+62600E-1, +2656E-07
+62700E-1, +1594E-07
+62800E-1, +2375E-07
+62900E-1, +2813E-07
+63000E-1, +2281E-07
+63100E-1, +2969E-07
+63200E-1, +2344E-07
+63300E-1, +3313E-07
+63400E-1, +2344E-07
+63500E-1, +2344E-07
+63600E-1, +2656E-07
+63700E-1, +2656E-07
+63800E-1, +2750E-07
+63900E-1, +2156E-07
+64000E-1, +2531E-07
+64100E-1, +2375E-07
+64200E-1, +2531E-07
+64300E-1, +2531E-07
+64400E-1, +2750E-07
+64500E-1, +2656E-07
+64600E-1, +1813E-07
+64700E-1, +2406E-07
+64800E-1, +2281E-07
+64900E-1, +2469E-07
+65000E-1, +2563E-07
+65100E-1, +2781E-07
+65200E-1, +2500E-07
+65300E-1, +2469E-07
+65400E-1, +2813E-07
+65500E-1, +2813E-07
+65600E-1, +2344E-07
+65700E-1, +2719E-07
+65800E-1, +2094E-07
+65900E-1, +2625E-07
+66000E-1, +2406E-07
+66100E-1, +2188E-07
+66200E-1, +2406E-07
+66300E-1, +2563E-07
+66400E-1, +2625E-07
+66500E-1, +2656E-07
+66600E-1, +2719E-07
+66700E-1, +2313E-07
+66800E-1, +2594E-07
+66900E-1, +2313E-07
+67000E-1, +2469E-07
+67100E-1, +2500E-07
+67200E-1, +2313E-07
+67300E-1, +2281E-07
+67400E-1, +2844E-07
+67500E-1, +2313E-07
+67600E-1, +2563E-07
+67700E-1, +2594E-07
+67800E-1, +2406E-07
+67900E-1, +2344E-07
+68000E-1, +2344E-07
+68100E-1, +2313E-07
+68200E-1, +2625E-07
+68300E-1, +2563E-07
+68400E-1, +2469E-07
+68500E-1, +2750E-07
+68600E-1, +2781E-07
+68700E-1, +2344E-07
+68800E-1, +2281E-07
+68900E-1, +2594E-07
+69000E-1, +2500E-07
+69100E-1, +2031E-07
+69200E-1, +2156E-07
+69300E-1, +2531E-07
+69400E-1, +2344E-07
+69500E-1, +2344E-07
+69600E-1, +2250E-07
+69700E-1, +2406E-07
+69800E-1, +2625E-07
+69900E-1, +2281E-07
+70000E-1, +2500E-07
+70100E-1, +2781E-07
+70200E-1, +2625E-07
+70300E-1, +2438E-07
+70400E-1, +2656E-07
+70500E-1, +2375E-07
+70600E-1, +2062E-07
+70700E-1, +2500E-07
+70800E-1, +2500E-07
+70900E-1, +2531E-07
+71000E-1, +2531E-07
+71100E-1, +2813E-07
+71200E-1, +2188E-07
+71300E-1, +2375E-07
+71400E-1, +2688E-07
+71500E-1, +2188E-07
+71600E-1, +2688E-07
+71700E-1, +2156E-07
+71800E-1, +2438E-07
+71900E-1, +2344E-07
+72000E-1, +2531E-07
+72100E-1, +2375E-07
+72200E-1, +2688E-07
+72300E-1, +2219E-07
+72400E-1, +2656E-07
+72500E-1, +2469E-07
+72600E-1, +2406E-07
+72700E-1, +2313E-07
+72800E-1, +2719E-07
+72900E-1, +1844E-07
+73000E-1, +2875E-07
+73100E-1, +2344E-07
+73200E-1, +2375E-07
+73300E-1, +2594E-07
+73400E-1, +2688E-07
+73500E-1, +2688E-07
+73600E-1, +2531E-07
+73700E-1, +2375E-07
+73800E-1, +2938E-07
+73900E-1, +2719E-07
+74000E-1, +2563E-07
+74100E-1, +2531E-07
+74200E-1, +2500E-07
+74300E-1, +2438E-07
+74400E-1, +2125E-07
+74500E-1, +2531E-07
+74600E-1, +2875E-07
+74700E-1, +2594E-07
+74800E-1, +2719E-07
+74900E-1, +2406E-07
