#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.05, 0.0, 0.0, 0.0, 0.0, -2.9000000000000027E-6, 0.0, 3/28/2023 10:36:15, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.32
t (ns), A (mV)
+00000E0, +3828E-07
+10000E-3, +1172E-07
+20000E-3, +5469E-08
+30000E-3, +1641E-07
+40000E-3, +1250E-07
+50000E-3, +1719E-07
+60000E-3, +7031E-08
+70000E-3, +1797E-07
+80000E-3, +6250E-08
+90000E-3, +3125E-07
+10000E-2, +3359E-07
+11000E-2, +3906E-07
+12000E-2, +2500E-07
+13000E-2, +1719E-07
+14000E-2, +1250E-07
+15000E-2, +1875E-07
+16000E-2, +1172E-07
+17000E-2, +1563E-07
+18000E-2, +4297E-07
+19000E-2, +4063E-07
+20000E-2, +1016E-07
+21000E-2, +1250E-07
+22000E-2, +1875E-07
+23000E-2, +1250E-07
+24000E-2, +3203E-07
+25000E-2, +1797E-07
+26000E-2, +1172E-07
+27000E-2, +2109E-07
+28000E-2, +3906E-08
+29000E-2, +9375E-08
+30000E-2, +1797E-07
+31000E-2, +1641E-07
+32000E-2, +2109E-07
+33000E-2, +1953E-07
+34000E-2, +1563E-07
+35000E-2, +2188E-07
+36000E-2, +1328E-07
+37000E-2, +3906E-08
+38000E-2, +1406E-07
+39000E-2, +1406E-07
+40000E-2, +1875E-07
+41000E-2, +9375E-08
+42000E-2, +1484E-07
+43000E-2, +3984E-07
+44000E-2, +1641E-07
+45000E-2, +1953E-07
+46000E-2, +1328E-07
+47000E-2, +4141E-07
+48000E-2, +1875E-07
+49000E-2, +1016E-07
+50000E-2, +3203E-07
+51000E-2, +8594E-08
+52000E-2, +1953E-07
+53000E-2, +1953E-07
+54000E-2, +1172E-07
+55000E-2, +2031E-07
+56000E-2, +2344E-07
+57000E-2, +3125E-07
+58000E-2, +3906E-07
+59000E-2, +1172E-07
+60000E-2, +1328E-07
+61000E-2, +1797E-07
+62000E-2, +2891E-07
+63000E-2, +2891E-07
+64000E-2, +2578E-07
+65000E-2, +2188E-07
+66000E-2, +2344E-07
+67000E-2, +1016E-07
+68000E-2, +1016E-07
+69000E-2, +1328E-07
+70000E-2, +3125E-07
+71000E-2, +2344E-07
+72000E-2, +1016E-07
+73000E-2, +7031E-08
+74000E-2, +2344E-07
+75000E-2, +1172E-07
+76000E-2, +2578E-07
+77000E-2, +1328E-07
+78000E-2, +1094E-07
+79000E-2, +1484E-07
+80000E-2, +1797E-07
+81000E-2, +1797E-07
+82000E-2, +1875E-07
+83000E-2, +3125E-07
+84000E-2, +1406E-07
+85000E-2, +9375E-08
+86000E-2, +3203E-07
+87000E-2, +4531E-07
+88000E-2, +1094E-07
+89000E-2, +1250E-07
+90000E-2, +1953E-07
+91000E-2, +5469E-08
+92000E-2, +1172E-07
+93000E-2, +3906E-08
+94000E-2, +1406E-07
+95000E-2, +1094E-07
+96000E-2, +1406E-07
+97000E-2, +9375E-08
+98000E-2, +2422E-07
+99000E-2, +1641E-07
+10000E-1, +2734E-07
+10100E-1, +3594E-07
+10200E-1, +9375E-08
+10300E-1, +1250E-07
+10400E-1, +1016E-07
+10500E-1, +1797E-07
+10600E-1, +3125E-08
+10700E-1, +1094E-07
+10800E-1, +5469E-08
+10900E-1, +2266E-07
+11000E-1, +8594E-08
+11100E-1, +2969E-07
+11200E-1, +1797E-07
+11300E-1, +1797E-07
+11400E-1, +1797E-07
+11500E-1, +1328E-07
+11600E-1, +2344E-07
+11700E-1, +1484E-07
+11800E-1, +6250E-08
+11900E-1, +1172E-07
+12000E-1, +1797E-07
+12100E-1, +1719E-07
+12200E-1, +1719E-07
+12300E-1, +3906E-08
+12400E-1, +3906E-08
+12500E-1, +2266E-07
+12600E-1, +4688E-08
+12700E-1, +8594E-08
+12800E-1, +8594E-08
+12900E-1, +1484E-07
+13000E-1, +1016E-07
+13100E-1, +2578E-07
+13200E-1, +1719E-07
