#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.05, 0.0, 0.0, 0.0, 0.0, -2.3000000000000017E-6, 0.0, 3/28/2023 9:6:50, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.339
t (ns), A (mV)
+00000E0, +1875E-07
+10000E-3, +8594E-08
+20000E-3, +1641E-07
+30000E-3, +1328E-07
+40000E-3, +7813E-08
+50000E-3, +0000E00
+60000E-3, +7813E-08
+70000E-3, +3906E-08
+80000E-3, +7813E-09
+90000E-3, +3906E-08
+10000E-2, +7813E-09
+11000E-2, +7813E-09
+12000E-2, +1172E-07
+13000E-2, -7813E-09
+14000E-2, +0000E00
+15000E-2, +2031E-07
+16000E-2, +0000E00
+17000E-2, +7813E-09
+18000E-2, +2109E-07
+19000E-2, +2422E-07
+20000E-2, +0000E00
+21000E-2, +5469E-08
+22000E-2, +7813E-09
+23000E-2, +1719E-07
+24000E-2, +1016E-07
+25000E-2, +5469E-08
+26000E-2, +7031E-08
+27000E-2, +1563E-08
+28000E-2, +0000E00
+29000E-2, +0000E00
+30000E-2, +9375E-08
+31000E-2, +4688E-08
+32000E-2, +3906E-08
+33000E-2, +7031E-08
+34000E-2, +4688E-08
+35000E-2, +2500E-07
+36000E-2, +0000E00
+37000E-2, +7813E-09
+38000E-2, +3906E-08
+39000E-2, +1484E-07
+40000E-2, +1328E-07
+41000E-2, +2031E-07
+42000E-2, +1563E-08
+43000E-2, +7031E-08
+44000E-2, +7813E-08
+45000E-2, +1250E-07
+46000E-2, +1563E-08
+47000E-2, +9375E-08
+48000E-2, +2344E-08
+49000E-2, +5469E-08
+50000E-2, +1406E-07
+51000E-2, +0000E00
+52000E-2, +5469E-08
+53000E-2, +3125E-08
+54000E-2, +8594E-08
+55000E-2, +8594E-08
+56000E-2, +1719E-07
+57000E-2, +3906E-08
+58000E-2, +7031E-08
+59000E-2, +1250E-07
+60000E-2, +3125E-08
+61000E-2, +1641E-07
+62000E-2, +6250E-08
+63000E-2, +4688E-08
+64000E-2, +7813E-09
+65000E-2, +0000E00
+66000E-2, +7813E-08
+67000E-2, +2344E-08
+68000E-2, +1016E-07
+69000E-2, +1094E-07
+70000E-2, +1094E-07
+71000E-2, +6250E-08
+72000E-2, +1250E-07
+73000E-2, +7813E-09
