#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-8, 0.05, 0.0, 0.0, 0.0, 0.0, -1.5000000000000026E-6, 0.0, 3/28/2023 10:22:10, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.32
t (ns), A (mV)
+00000E0, +2344E-08
+10000E-3, +7813E-09
+20000E-3, +1250E-07
+30000E-3, +1172E-07
+40000E-3, +2188E-07
+50000E-3, +2813E-07
+60000E-3, +8594E-08
+70000E-3, +0000E00
+80000E-3, +9375E-08
+90000E-3, +3203E-07
+10000E-2, +2656E-07
+11000E-2, +2344E-07
+12000E-2, +2891E-07
+13000E-2, +4453E-07
+14000E-2, +8594E-08
+15000E-2, +1563E-08
+16000E-2, +3125E-08
+17000E-2, +1563E-08
+18000E-2, +1172E-07
+19000E-2, +1875E-07
+20000E-2, +2266E-07
+21000E-2, +3906E-08
+22000E-2, +2344E-07
+23000E-2, +1953E-07
+24000E-2, -7813E-09
+25000E-2, +1563E-08
+26000E-2, +1719E-07
+27000E-2, +1094E-07
+28000E-2, +2266E-07
+29000E-2, +2578E-07
+30000E-2, +3906E-08
+31000E-2, +1484E-07
+32000E-2, +2266E-07
+33000E-2, +6250E-08
+34000E-2, +3203E-07
+35000E-2, +5469E-08
+36000E-2, +4688E-08
+37000E-2, +1484E-07
+38000E-2, +4219E-07
+39000E-2, +7031E-08
+40000E-2, +3906E-08
+41000E-2, +2266E-07
+42000E-2, +1719E-07
+43000E-2, +2656E-07
+44000E-2, -7813E-09
+45000E-2, +2188E-07
+46000E-2, +2656E-07
+47000E-2, +7813E-08
+48000E-2, +2344E-08
+49000E-2, +1953E-07
+50000E-2, +3516E-07
+51000E-2, +2031E-07
+52000E-2, +1250E-07
+53000E-2, +1875E-07
+54000E-2, +3359E-07
+55000E-2, +1406E-07
+56000E-2, +1563E-07
+57000E-2, +8594E-08
+58000E-2, +2734E-07
+59000E-2, +0000E00
+60000E-2, +1953E-07
+61000E-2, +1953E-07
+62000E-2, +1719E-07
+63000E-2, -7813E-09
+64000E-2, +2109E-07
+65000E-2, +2734E-07
+66000E-2, +1094E-07
+67000E-2, +1875E-07
+68000E-2, +1875E-07
+69000E-2, +1094E-07
+70000E-2, +1797E-07
+71000E-2, +2344E-08
+72000E-2, +8594E-08
+73000E-2, +1563E-08
+74000E-2, +3828E-07
+75000E-2, +2266E-07
+76000E-2, +7031E-08
+77000E-2, +0000E00
+78000E-2, +2031E-07
+79000E-2, +3437E-07
+80000E-2, +4688E-08
+81000E-2, +2266E-07
+82000E-2, +4219E-07
+83000E-2, +0000E00
+84000E-2, +3906E-08
+85000E-2, +3906E-07
+86000E-2, +1172E-07
+87000E-2, -7813E-09
+88000E-2, +1641E-07
+89000E-2, +1719E-07
+90000E-2, +2813E-07
+91000E-2, +7813E-08
+92000E-2, +2578E-07
+93000E-2, +2656E-07
+94000E-2, +3672E-07
+95000E-2, +3984E-07
+96000E-2, +2656E-07
+97000E-2, +0000E00
+98000E-2, +1406E-07
+99000E-2, +7031E-08
+10000E-1, +1563E-07
+10100E-1, +1641E-07
+10200E-1, +2813E-07
+10300E-1, +3047E-07
+10400E-1, +2031E-07
+10500E-1, +2109E-07
+10600E-1, +8594E-08
+10700E-1, +8594E-08
+10800E-1, +3125E-08
+10900E-1, +1016E-07
+11000E-1, +9375E-08
+11100E-1, +7813E-09
+11200E-1, +2578E-07
+11300E-1, +9375E-08
+11400E-1, -7813E-09
+11500E-1, -7813E-09
+11600E-1, +1250E-07
+11700E-1, +1563E-08
+11800E-1, +1875E-07
+11900E-1, +7813E-08
+12000E-1, +1563E-07
+12100E-1, +1016E-07
+12200E-1, -7813E-09
+12300E-1, +7813E-08
+12400E-1, +1016E-07
+12500E-1, -7813E-09
+12600E-1, +2891E-07
+12700E-1, +3828E-07
+12800E-1, +7031E-08
+12900E-1, +2031E-07
+13000E-1, +3047E-07
+13100E-1, +1719E-07
+13200E-1, -7813E-09
+13300E-1, +1172E-07
+13400E-1, +1797E-07
+13500E-1, +3359E-07
+13600E-1, +1641E-07
+13700E-1, +2344E-07
+13800E-1, +1406E-07
+13900E-1, -7813E-09
+14000E-1, +1484E-07
+14100E-1, +7813E-09
+14200E-1, +2188E-07
+14300E-1, +4688E-08
+14400E-1, -7813E-09
+14500E-1, +9375E-08
+14600E-1, +4688E-08
+14700E-1, +7813E-08
+14800E-1, +1875E-07
+14900E-1, +1563E-08
+15000E-1, +4688E-08
+15100E-1, +1016E-07
+15200E-1, -7813E-09
+15300E-1, +2969E-07
+15400E-1, +7813E-09
+15500E-1, +9922E-07
+15600E-1, -1031E-06
+15700E-1, +8047E-07
+15800E-1, +2000E-06
+15900E-1, -7813E-09
+16000E-1, -3672E-07
+16100E-1, +9922E-07
+16200E-1, +1898E-06
+16300E-1, +6250E-07
+16400E-1, -1031E-06
+16500E-1, +1000E-06
+16600E-1, +1008E-06
+16700E-1, +1953E-07
+16800E-1, -5313E-07
+16900E-1, -3594E-07
+17000E-1, +1906E-06
+17100E-1, -3906E-07
+17200E-1, -9766E-07
+17300E-1, -7813E-09
+17400E-1, +5703E-07
+17500E-1, +4688E-08
+17600E-1, -1492E-06
+17700E-1, -7813E-09
+17800E-1, +0000E00
+17900E-1, -1641E-07
+18000E-1, -1023E-06
+18100E-1, -1016E-06
+18200E-1, +4922E-07
+18300E-1, -4141E-07
+18400E-1, -1008E-06
+18500E-1, -4453E-07
+18600E-1, +2578E-07
+18700E-1, +2422E-07
+18800E-1, -5078E-07
+18900E-1, -7813E-09
+19000E-1, +6094E-07
+19100E-1, +6172E-07
+19200E-1, -7031E-08
+19300E-1, -7813E-09
+19400E-1, +7813E-07
+19500E-1, +3203E-07
+19600E-1, -1563E-08
+19700E-1, -7813E-09
+19800E-1, +5156E-07
+19900E-1, +8594E-07
+20000E-1, -7813E-09
+20100E-1, +1016E-07
+20200E-1, +7031E-07
+20300E-1, +6406E-07
+20400E-1, +3203E-07
+20500E-1, +0000E00
+20600E-1, +6250E-07
+20700E-1, +5703E-07
+20800E-1, -7813E-09
+20900E-1, -1563E-08
+21000E-1, +2500E-07
+21100E-1, +4922E-07
+21200E-1, -2344E-08
+21300E-1, -7813E-09
+21400E-1, +2109E-07
+21500E-1, +1875E-07
+21600E-1, +3906E-08
+21700E-1, -7813E-09
+21800E-1, +4375E-07
+21900E-1, +2266E-07
+22000E-1, +1563E-07
+22100E-1, +0000E00
+22200E-1, +1016E-07
+22300E-1, +4844E-07
+22400E-1, +0000E00
+22500E-1, -7813E-09
+22600E-1, +1563E-08
+22700E-1, +5000E-07
+22800E-1, +2109E-07
+22900E-1, -7813E-09
+23000E-1, +3125E-07
+23100E-1, +3047E-07
+23200E-1, +3516E-07
+23300E-1, +1172E-07
+23400E-1, +7813E-08
+23500E-1, +4844E-07
+23600E-1, +3672E-07
+23700E-1, +1406E-07
+23800E-1, +2031E-07
+23900E-1, +3984E-07
+24000E-1, +1406E-07
+24100E-1, -7813E-09
+24200E-1, +1719E-07
+24300E-1, +4453E-07
+24400E-1, +3437E-07
+24500E-1, +6250E-08
+24600E-1, +1563E-07
+24700E-1, +3047E-07
+24800E-1, +2500E-07
+24900E-1, +7031E-08
+25000E-1, +2266E-07
+25100E-1, +5469E-08
+25200E-1, +1016E-07
+25300E-1, +0000E00
+25400E-1, +1406E-07
+25500E-1, +8594E-08
+25600E-1, +3047E-07
+25700E-1, +7813E-09
+25800E-1, +0000E00
+25900E-1, +1797E-07
+26000E-1, +1563E-07
+26100E-1, +0000E00
+26200E-1, +9375E-08
+26300E-1, +2344E-08
+26400E-1, +3984E-07
+26500E-1, +1094E-07
+26600E-1, +7031E-08
+26700E-1, +3750E-07
+26800E-1, +3672E-07
+26900E-1, +1172E-07
+27000E-1, +3437E-07
+27100E-1, +1250E-07
+27200E-1, +3906E-08
+27300E-1, +2031E-07
+27400E-1, +3047E-07
+27500E-1, +1250E-07
+27600E-1, +3516E-07
+27700E-1, +1406E-07
+27800E-1, +1719E-07
+27900E-1, +1016E-07
+28000E-1, +2109E-07
+28100E-1, -7813E-09
+28200E-1, -7813E-09
+28300E-1, +2734E-07
+28400E-1, +2266E-07
+28500E-1, +3516E-07
+28600E-1, +2344E-08
+28700E-1, +1484E-07
+28800E-1, +7813E-08
+28900E-1, +0000E00
+29000E-1, +3906E-07
+29100E-1, +3984E-07
+29200E-1, +6250E-08
+29300E-1, -7813E-09
+29400E-1, +1172E-07
+29500E-1, +2422E-07
+29600E-1, +2344E-07
+29700E-1, +5469E-08
+29800E-1, +2344E-07
+29900E-1, -7813E-09
+30000E-1, +3672E-07
+30100E-1, +1016E-07
+30200E-1, +2344E-08
