#samples, filetype, datatype, headerlength, delta t (s), mV/Division, bottom pore pressure (psi), top pore pressure (psi), confining pressure at gauge (psi), confining pressure at transducer (psi), T outside, T inside, date/time, velocity (km/s), left velocity pick, right velocity pick, left signal pick, right signal pick, left reference pick, right reference pick, left short Q pick, right short Q pick, left long Q pick, right long Q pick, Q over 3 points, Q over >3 points, Gamma, time of flight, reference filename, 1st four characters in reference filename, 1st operator, 2nd operator, comment, system delay (s), samplelength
10000, 0, 3, 0, 1.0E-7, 0.05, 0.0, 0.0, 0.0, 0.0, -6.970000000000001E-5, 0.0, 2/25/2023 9:52:30, 0.0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,                                                                                 ,     ,               chance,                     ,                                                                                                                                                                 , 1.1E-6, 1.333
t (ns), A (mV)
+00000E0, +5469E-07
+10000E-2, +5547E-07
+20000E-2, +4609E-07
+30000E-2, +4375E-07
+40000E-2, +6016E-07
+50000E-2, +5625E-07
+60000E-2, +5156E-07
+70000E-2, +5156E-07
+80000E-2, +5547E-07
+90000E-2, +6172E-07
+10000E-1, +5781E-07
+11000E-1, +5391E-07
+12000E-1, +5781E-07
+13000E-1, +4687E-07
+14000E-1, +5391E-07
+15000E-1, +5313E-07
+16000E-1, +4453E-07
+17000E-1, +4063E-07
+18000E-1, +5547E-07
+19000E-1, +4922E-07
+20000E-1, +4219E-07
+21000E-1, +5313E-07
+22000E-1, +4844E-07
+23000E-1, +5078E-07
+24000E-1, +5703E-07
+25000E-1, +4297E-07
+26000E-1, +1328E-07
+27000E-1, +5391E-07
+28000E-1, +4219E-07
+29000E-1, +5234E-07
+30000E-1, +5156E-07
+31000E-1, +5781E-07
+32000E-1, +5391E-07
+33000E-1, +2813E-07
+34000E-1, +5703E-07
+35000E-1, +5234E-07
+36000E-1, +5625E-07
+37000E-1, +4766E-07
+38000E-1, +3047E-07
+39000E-1, +2969E-07
+40000E-1, +4687E-07
+41000E-1, +2578E-07
+42000E-1, +4766E-07
+43000E-1, +5547E-07
+44000E-1, +5313E-07
+45000E-1, +5781E-07
+46000E-1, +5156E-07
+47000E-1, +5703E-07
+48000E-1, +5156E-07
+49000E-1, +5156E-07
+50000E-1, +4766E-07
+51000E-1, +5937E-07
+52000E-1, +4922E-07
+53000E-1, +4922E-07
+54000E-1, +5000E-07
+55000E-1, +4844E-07
+56000E-1, +6094E-07
+57000E-1, +5078E-07
+58000E-1, +3437E-07
+59000E-1, +4531E-07
+60000E-1, +4531E-07
+61000E-1, +5313E-07
+62000E-1, +4687E-07
+63000E-1, +4531E-07
+64000E-1, +5469E-07
+65000E-1, +4922E-07
+66000E-1, +4844E-07
+67000E-1, +6094E-07
+68000E-1, +4531E-07
+69000E-1, +5547E-07
+70000E-1, +5078E-07
+71000E-1, +5469E-07
+72000E-1, +5000E-07
+73000E-1, +4141E-07
+74000E-1, +4844E-07
+75000E-1, +5156E-07
+76000E-1, +5156E-07
+77000E-1, +5625E-07
+78000E-1, +5000E-07
+79000E-1, +3750E-07
+80000E-1, +2813E-07
+81000E-1, +5313E-07
+82000E-1, +5391E-07
+83000E-1, +4375E-07
+84000E-1, +4844E-07
+85000E-1, +5078E-07
+86000E-1, +5313E-07
+87000E-1, +4531E-07
+88000E-1, +4063E-07
+89000E-1, +5000E-07
+90000E-1, +3437E-07
+91000E-1, +4297E-07
+92000E-1, +4531E-07
+93000E-1, +5391E-07
+94000E-1, +5547E-07
+95000E-1, +6250E-07
+96000E-1, +5234E-07
+97000E-1, +5625E-07
+98000E-1, +6641E-07
+99000E-1, +5547E-07
+10000E0, +5703E-07
+10100E0, +5313E-07
+10200E0, +3281E-07
+10300E0, +5937E-07
+10400E0, +5391E-07
+10500E0, +5547E-07
+10600E0, +5234E-07
+10700E0, +4063E-07
+10800E0, +3750E-07
+10900E0, +5000E-07
+11000E0, +4297E-07
+11100E0, +5234E-07
+11200E0, +4297E-07
+11300E0, +2969E-07
+11400E0, +5547E-07
+11500E0, +4531E-07
+11600E0, +4844E-07
+11700E0, +3047E-07
+11800E0, +2969E-07
+11900E0, +5703E-07
+12000E0, +5313E-07
+12100E0, +5391E-07
+12200E0, +5313E-07
+12300E0, +4531E-07
+12400E0, +4297E-07
+12500E0, +5547E-07
+12600E0, +6016E-07
+12700E0, +4766E-07
+12800E0, +5234E-07
+12900E0, +6094E-07
+13000E0, +5313E-07
+13100E0, +4844E-07
+13200E0, +5937E-07
+13300E0, +5469E-07
+13400E0, +5703E-07
+13500E0, +5469E-07
+13600E0, +5078E-07
+13700E0, +4766E-07
+13800E0, +5078E-07
+13900E0, +5703E-07
+14000E0, +6250E-07
+14100E0, +4687E-07
+14200E0, +5156E-07
+14300E0, +5000E-07
+14400E0, +5469E-07
+14500E0, +3203E-07
+14600E0, +5156E-07
+14700E0, +5078E-07
+14800E0, +5156E-07
+14900E0, +5313E-07
+15000E0, +6328E-07
+15100E0, +5625E-07
+15200E0, +5313E-07
+15300E0, +4141E-07
+15400E0, +5469E-07
+15500E0, +3047E-07
+15600E0, +5391E-07
+15700E0, +5703E-07
+15800E0, +5781E-07
+15900E0, +5625E-07
+16000E0, +5703E-07
+16100E0, +4375E-07
+16200E0, +4766E-07
+16300E0, +3437E-07
+16400E0, +5000E-07
+16500E0, +5859E-07
+16600E0, +3516E-07
+16700E0, +4453E-07
+16800E0, +5391E-07
+16900E0, +5313E-07
+17000E0, +5391E-07
+17100E0, +5937E-07
+17200E0, +4453E-07
+17300E0, +4766E-07
+17400E0, +4922E-07
+17500E0, +5313E-07
+17600E0, +5391E-07
+17700E0, +5234E-07
+17800E0, +4766E-07
+17900E0, +5859E-07
+18000E0, +4375E-07
+18100E0, +5859E-07
+18200E0, +3984E-07
+18300E0, +5937E-07
+18400E0, +5234E-07
+18500E0, +2813E-07
+18600E0, +5703E-07
+18700E0, +5156E-07
+18800E0, +4687E-07
+18900E0, +4531E-07
+19000E0, +5391E-07
+19100E0, +5313E-07
+19200E0, +4766E-07
+19300E0, +4609E-07
+19400E0, +3984E-07
+19500E0, +6094E-07
+19600E0, +5547E-07
+19700E0, +3594E-07
+19800E0, +6094E-07
+19900E0, +5703E-07
+20000E0, +4453E-07
+20100E0, +6016E-07
+20200E0, +4922E-07
+20300E0, +5156E-07
+20400E0, +5156E-07
+20500E0, +5313E-07
+20600E0, +5313E-07
+20700E0, +6328E-07
+20800E0, +4063E-07
+20900E0, +3516E-07
+21000E0, +5156E-07
+21100E0, +3359E-07
+21200E0, +3281E-07
+21300E0, +4297E-07
+21400E0, +5391E-07
+21500E0, +5078E-07
+21600E0, +5469E-07
+21700E0, +4453E-07
+21800E0, +2734E-07
+21900E0, +1172E-07
+22000E0, +5625E-07
+22100E0, +4687E-07
+22200E0, +5703E-07
+22300E0, +6328E-07
+22400E0, +5234E-07
+22500E0, +2734E-07
+22600E0, +5469E-07
+22700E0, +4609E-07
+22800E0, +5547E-07
+22900E0, +5234E-07
+23000E0, +4844E-07
+23100E0, +4063E-07
+23200E0, +5469E-07
+23300E0, +5781E-07
+23400E0, +4687E-07
+23500E0, +3906E-07
+23600E0, +5547E-07
+23700E0, +5000E-07
+23800E0, +5781E-07
+23900E0, +3828E-07
+24000E0, +4531E-07
+24100E0, +5625E-07
+24200E0, +4219E-07
+24300E0, +3750E-07
+24400E0, +3750E-07
+24500E0, +4844E-07
+24600E0, +5078E-07
+24700E0, +4219E-07
+24800E0, +5000E-07
+24900E0, +4922E-07
+25000E0, +5313E-07
+25100E0, +3906E-07
+25200E0, +4766E-07
+25300E0, +4922E-07
+25400E0, +5547E-07
+25500E0, +4922E-07
+25600E0, +5391E-07
+25700E0, +2969E-07
+25800E0, +5078E-07
+25900E0, +3281E-07
+26000E0, +5078E-07
+26100E0, +5234E-07
+26200E0, +5547E-07
+26300E0, +5000E-07
+26400E0, +6250E-07
+26500E0, +5313E-07
+26600E0, +5234E-07
+26700E0, +2422E-07
+26800E0, +5625E-07
+26900E0, +5781E-07
+27000E0, +4063E-07
+27100E0, +5625E-07
+27200E0, +4687E-07
+27300E0, +5391E-07
+27400E0, +5234E-07
+27500E0, +4453E-07
+27600E0, +3828E-07
+27700E0, +5156E-07
+27800E0, +4219E-07
+27900E0, +5625E-07
+28000E0, +4453E-07
+28100E0, +2734E-07
+28200E0, +5313E-07
+28300E0, +5391E-07
+28400E0, +5547E-07
+28500E0, +5625E-07
+28600E0, +5625E-07
+28700E0, +3516E-07
+28800E0, +3359E-07
+28900E0, +4063E-07
+29000E0, +4531E-07
+29100E0, +5625E-07
+29200E0, +5000E-07
+29300E0, +5156E-07
+29400E0, +5391E-07
+29500E0, +5391E-07
+29600E0, +5156E-07
+29700E0, +3984E-07
+29800E0, +5313E-07
+29900E0, +4219E-07
+30000E0, +5703E-07
+30100E0, +4141E-07
+30200E0, +4219E-07
+30300E0, +5000E-07
+30400E0, +4219E-07
+30500E0, +4531E-07
+30600E0, +5313E-07
+30700E0, +6016E-07
+30800E0, +5625E-07
+30900E0, +6094E-07
+31000E0, +4375E-07
+31100E0, +5469E-07
+31200E0, +3672E-07
+31300E0, +3516E-07
+31400E0, +5078E-07
+31500E0, +4063E-07
+31600E0, +2422E-07
+31700E0, +4219E-07
+31800E0, +5937E-07
+31900E0, +3750E-07
+32000E0, +5313E-07
+32100E0, +4609E-07
+32200E0, +5156E-07
+32300E0, +5703E-07
+32400E0, +3516E-07
+32500E0, +6250E-07
+32600E0, +5156E-07
+32700E0, +5313E-07
+32800E0, +5469E-07
+32900E0, +4063E-07
+33000E0, +5703E-07
+33100E0, +4063E-07
+33200E0, +5234E-07
+33300E0, +4531E-07
+33400E0, +5234E-07
+33500E0, +5859E-07
+33600E0, +5234E-07
+33700E0, +5625E-07
+33800E0, +3984E-07
+33900E0, +5313E-07
+34000E0, +5234E-07
